TWName,TMDBID
喵喵博物館,923579
附身,653615
親愛的大衛,609768
神鬼海底撈,783110
胡桃鉗與魔笛公主的奇幻冒險,589759
雉岳山怪談,987540
我的幸福婚約,1037348
收陰機,1017063
保護者,656156
鬼噤聲,1018518
駭人骨娃娃,1008005
劇場版 少女☆歌劇 Revue Starlight,645440
SEE HEAR LOVE 看不見聽不見也愛你,1124341
IU CONCERT: THE GOLDEN HOUR,1165656
撼山河 撼向世界,1168336
斷網,741602
九槍,1029179
首爾怪談,957154
歡迎來到駒田蒸餾所,1119211
溟溟,1006683
岸邊露伴在羅浮,1069813
紳探追緝令,848198
全羅道少年殺人事件,714651
日子,161285
忌怪島,1114205
法貝爾曼,804095
偉大的十四世：達賴喇嘛,Not Found
電梯遊戲,1015303
幻影,211755
鬼郵輪：瑪麗皇后號,977013
王立宇宙軍～歐尼亞米斯之翼～：4K數位修復版,Not Found
鬼夢遊,964592
我的天堂城市,1007976
水鬼,9009
超人力霸王德卡 最終章 朝向旅程的彼方‧‧‧,1053626
巫母,782936
電影版TOKYO MER：行動急診室,961256
配樂大師顏尼歐,396194
特別篇 吹響吧！上低音號～合奏團競賽篇～,1108306
魯蛇大翻身,936243
毒舌大狀,990326
喵的詐騙集團,676710
My Precious初戀,976125
寶可噩夢,798286
喜幹會,864168
小熊維尼：血與蜜,980078
月之圓缺,961257
五月雪,973587
鬼臥床,917007
電影刀劍亂舞-黎明-,Not Found
邀阿公阿嬤拍B級殭屍片,1167792
愛是自私,1027273
金之國水之國,991190
ASTRO,526475
麵包超人電影版：樂波莉與暖呼呼禮物,Not Found
數碼寶貝02 THE BEGINNING_國語版,Not Found
愛．子,806368
假面騎士劇場版 Battle Royale,1002780
劇場版 PSYCHO-PASS 心靈判官 PROVIDENCE ,Not Found
五月的你，十二月的她,839369
神鬼聖戰,296271
油麻菜籽,272122
德古拉的新娘 ,586352
少男少女,1088428
天元突破劇場版 紅蓮螺巖 螺巖篇,23452
熊男,995063
極惡變身,952476
快一秒的他,1029475
百花,936490
天元突破劇場版 紅蓮螺巖 紅蓮篇,20986
湯道,1029486
義美超級爸,829051
日暮生死戀,1113085
舞力對決 : 地表撐霸,1130659
空巢,531509
新核能時代,1004685
長春事件,949000
親密,11845
鬼偶,1031388
超完美狗保姆,610249
闇黑對決,87421
沼澤王的女兒,798362
RENAISSANCE: A FILM BY BEYONCÉ,Not Found
烈火焚身,46738
誆世巨作：蜘蛛窩新宇宙,901121
厲嬰魂,1073449
蘭陵40─演員實驗教室,1124911
聖母院大火：世紀浩劫,811596
印咒：畢舍遮,1024773
大明星多重宇宙,773910
來自雪國的遺書,1030205
公主與野獸,576925
追殺代理人,942199
杜巴利伯爵夫人,921452
龍馬精神,931102
摘星甜點王,975762
我的2年妓女生涯,960139
命案,969050
NCT NATION：To The World in Cinemas,Not Found
GHOSTBOOK 妖怪圖鑑,961418
那個男人,869886
地獄來的乘客,1030987
少女☆歌劇 Revue Starlight RONDO RONDO RONDO,645439
淘氣小企鵝啵樂樂 電影版：巨龍城堡大冒險,979688
贖罪日之戰,899524
夏日悄悄話,916405
暗湧情事,348869
維特:音樂劇,Not Found
機甲英雄 劇場版 我與我等於無限大,1170696
瑪琳艾索普：首席女指揮,Not Found
WOMEN 我們不知道的事,1121326
驅魔13,1026563
花若盛開,1209560
#人孔,1029621
擒慾女王,1125053
詭屋,1138194
涅槃咒,1057919
惡靈魔洛剋,959558
心之谷,37797
東尼瀧谷:數位經典版,Not Found
HERO,10699
絕對味覺情人,978202
不離職冒險王,745608
回不去的那座山,803700
暗殺風暴,902533
SSSS. GRIDMAN 劇場總集篇,1068602
麻罪犯,1117283
寬鬆世代又怎樣：INTERNATIONAL,1119114
惠子不能輸,928730
新進社員：電影版,1106528
窗邊的小荳荳,1106904
獸刑,1153794
愛是一把槍,1155680
上流謀殺案,989473
花開富貴,1130343
X,760104
燈火闌珊,824742
貞子 DX,940417
困獸,206051
禁忌的畫像：卡拉瓦喬之影,693349
四月物語：數位修復版,Not Found
火線埋伏,1074034
白日青春,1029168
開羅謀殺案,788977
凱蒂超殺女,842607
淨化論,910365
指尖上綻放的愛,819163
斷捨離天堂,1129646
屍蹤天使,1043565
燃燒的玫瑰,785980
人之初性本善,1121017
黑暗騎士,155
鄰人Ｘ：謎樣的女子,1084742
銀河鐵道之父,1062844
陰影下的她,923344
夢遊樂園,899464
孩子， 你好嗎 ? 我的名字叫李心潔,1114314
再一次勇敢跳躍,771077
所有的美麗與血淚,1004663
新寶島曼波,1190164
炸彈客,1093453
舌尖上的禪,1024298
致蕾絲莉,823147
SSSS.DYNAZENON 劇場總集篇,1068607
束縛,341174
一直一直都很喜歡你,1022830
東京復仇者2：血腥萬聖節 前篇─命運,1057872
劊樂時光,1113278
小提琴天后慕特：愛樂一生,1104840
天生一對2 大電影：再續前緣,937753
豪門心計,786977
萬惡世代,782044
東京復仇者2：血腥萬聖節 後篇─決戰,1057873
厄林,2667
追海豚的長崎夏日,971602
彬與瑛,961410
Fishmans,800151
白日之下,1099217
全面啟動10周年紀念版,Not Found
雙手的溫柔,958279
米蘭昆德拉：從玩笑到無謂的盛宴,835362
24小時賭命倒數,1053587
追兇12夜,925102
名偵探神助理：黃金螺旋之謎,1029479
進化症候群,943134
我們的黎明,950863
愛在滿格時,1033176
桃子樹的最後豐收,804251
孩子， 你好嗎 ?  山頂小屋,1114321
限時引爆,1156255
動物感傷の清晨,937101
劇場版 衝鋒戰士：搶救月球大作戰,636283
千輝同學未免甜得過火,1029484
榮耀之路,958219
炎日,682152
為你鍾琴,804868
電影哆啦A夢 - 大雄的秘密道具博物館,218726
愛情美樂地,962571
電影版 淘氣小企鵝啵樂樂 超級明星大冒險,1189165
幸運狗狗來造訪,634120
青春豬頭少年不會夢到懷夢美少女,572154
柴可夫斯基的妻子,901358
尋愛小說家：海史密斯,915939
烈火浩劫,944306
光影帝國,814757
黑夜遊行,1034660
深夜加油站遇見蘇格拉底,13689
對我而言，你是珍貴的,817485
俠探特攻：驚爆獨立日,1035806
花腐,1115167
神選之地,960206
塞納河上的船屋,1070449
WINNER 2022 CONCERT THE CIRCLE : THE MOVIE,1166425
天一亮，就想見到你,1120459
無人相信的真相,925714
轉生幻夢,1077684
在旅途中：方濟各的朝聖之旅,1004682
假裝沒事,Not Found
善良的牧本先生,961267
親密（前編）,Not Found
銀河鐵道之夜,37585
名偵探麻里子最悲慘的一天,1017441
永遠的好麻吉,872556
幸福的所在,997659
窄路微塵,957861
電影哆啦A夢 - 新‧大雄的宇宙開拓史,95935
仇恨謎林,919570
爛人,660120
我恨我自己,788734
萬聖劫,1058078
玩具當家,865498
聖奧梅爾殺嬰案,925943
生命之舞,1128001
緣起不滅,42190
電影版殘念生物事典,Not Found
電影哆啦A夢 - 大雄的人魚大海戰,86184
我和喵喵的冒險旅行  ,977337
屍發現場,852758
絕命控制,986088
呼叫愛美子,828948
愛爾瑪的情與慾,997777
血忌,1015079
觸不到的肌膚,Not Found
大愚樂家,553147
小淘氣尼古拉：快樂的源頭,893366
穆荷蘭大道 4K數位修復版,Not Found
交響狂花,958179
奪魂鋸,176
揮灑心篇章,960275
電影哆啦A夢：新大雄的大魔境 - 扁扁與5人之探險隊,285812
五月的35日,925341
俘虜,11948
花漾奶奶金難搞,956759
怪談比留子,38405
電影哆啦A夢 - 新‧大雄與鐵人兵團,137227
噩夢輓歌 4K數位修復版,Not Found
景深之中,348875
熱帶往事,824738
片場風暴,1005299
詭樓,852432
流水落花,1027944
達利:慾望之謎,522925
聖蛛,889699
販愛天堂,892515
我們從末日開始,973778
親密（後編）,Not Found
銀平町的電影時光,1064872
情牽浮生戲,1076011
屍房菜,1002317
離不開你的依賴,1035647
電影哆啦A夢：大雄與奇跡之島,160642
盲柳與沉睡的女人,678299
鬼玩人 4K數位修復版,Not Found
色局追兇,89455
拼音戀習曲,928709
青春 ,508947
色界,993234
德黑蘭雙面疑雲,1008043
夏洛克的孩子們,1019661
她和他的女兒,803694
這裡沒有熊,974521
若愛重來,743173
謎樣的你,1076535
破碎太陽之心,Not Found
像高達一樣寂寞,1005409
峰爆,862855
電影哆啦A夢 - 大雄之宇宙英雄記,350650
鷹勇潛艦,611854
死屍死時四十四,1005259
監弒器,831480
坂本龍一：終章,473888
冬日男孩,918044
唐璜羅曼死,657198
冰淇淋般的愛戀,1067298
緣路山旮旯,898009
飢餓遊戲：自由幻夢 終結戰,131634
海的盡頭是草原,1019619
她喜歡的是,804032
渴水,968146
天間莊三姊妹,Not Found
COLDPLAY: LIVE AT RIVER PLATE,1123586
日出日落：屋頂上的提琴手,927263
荒漠斷背情,963765
絕地追擊,1126608
回到首爾,952701
明天星期一,1040496
SUGA: Road to D-DAY,1106732
蓋世棋蹟,748787
尋父冒險記,1005141
不散（4K修復版）,Not Found
四層公寓,1002470
飯捲男孩乖乖睡 ,1008038
十三門徒,1002318
AI時代,1091360
絕美波麗露,795254
破案天才伽利略：嫌疑犯X的獻身,42341
樹懶殺三小,1040892
穿著旗袍的女孩,1331693
愛在生命終結時,843093
愛情轉移,898673
血仇生死鬥,894169
坂本龍一:async紐約現場,Not Found
百合的雨聲,994741
朝聖之路：一路平安,682109
野獸們,848685
原罪犯,670
手,1024127
琳達想吃雞!,589026
與達利有約,1091044
小嫉妒,803688
正年輕,848958
闇黑新世界,165213
尋找第5味,788030
演員夢,Not Found
三張面孔,517731
正義辯護人,242452
春風勁草,665733
闇之祭,853387
男人最壞女人最愛,1090024
直到世界末日,Not Found
《聽見天堂》4K數位修復版,Not Found
萊拉兄弟,962558
安妮艾諾 超八時光,964681
夜鷹的單戀,879008
腹荷,1061648
巫術,1015936
她和她們的電影課,866611
Anne的多重恐懼,952127
這就是我,57118
茱莉亞四重奏,892530
勇闖太空,881693
親切的金子,4550
超市之女,81296
當男人戀愛時,797787
虎紋少女,1077693
杏仁與海馬,787791
j-hope IN THE BOX,1076443
在水中,1077647
夢想紅舞鞋,1075010
換宿夜驚魂,1064801
坂本龍一：OPUS,1156189
五個惡魔,820697
燃起希望之火,849242
危險療程,48231
艾莉絲旅館,872667
玫瑰母親,926889
初戀你我他,977179
飢餓遊戲：星火燎原,101299
飛舞人生,842424
餓之必要,938250
我的左派老師,7859
KANGDANIEL: MY PARADE,1156807
地下疑雲,925459
地中海發燒友,958291
我的完美日常,976893
阿諾是個模範生,997519
破案天才伽利略：真夏方程式,204702
妖怪森林,1177667
謎霧莊園,5279
卓別林與他的情人,10435
神鬼第六感,1933
惡靈地堡,794234
馬克白（莎翁經典劇集）,Not Found
女稅務員,42011
蝙蝠：血色情慾 數位修復版,Not Found
投奔怒海,72445
愛情停損點,794246
戰場日記,1058616
愛情失格,1009447
與狼共舞,581
扶桑花女孩之舞,760765
屍智症,994128
潛行,999056
受監護的女人,164207
壞男孩,8363
長路將盡,11889
我要復仇,4689
飢餓遊戲：自由幻夢,131631
情慾獨角獸,1078920
我的藍莓夜,1989
西蒙娜：世紀之聲,740937
傲慢與偏見（音樂劇）,Not Found
烈火亞當,Not Found
BILLIE EILISH: LIVE AT THE O2 （戲院加長版）,Not Found
萊茵金,912726
折翼姊妹,1030991
民暴之女,110283
驚爆點,629
開心鬼上身,62439
無情荒地有琴天,46992
壁花男孩,84892
飢餓遊戲,70160
唱出戀愛的苦惱,969441
南巫,759524
愛是您·愛是我,508
絞死刑,98193
儀式,94466
馬爾多羅之歌/嘗試對一寸法師進行記述/二頭女-影之映畫/讀書機,Not Found
御法度,20617
冰風暴,68924
六月之蛇,33431
紅圈,Not Found
巫師靈不靈！？,717908
愛的密語,802403
檻囚/蝶服記/迷宮譚/疱瘡譚/橡皮擦,Not Found
科西嘉的那個夏天 ,1000058
艾蜜莉的異想世界,194
靜靜的生活,81860
女稅務員2,41962
亨利五世（莎翁經典劇集）,Not Found
託生君系列：很長很長的故事開始的早晨,1134409
7號房的禮物,637920
無事生非（莎翁經典劇集）,Not Found
非關男孩,245
我們的最強暑假,Not Found
壞教慾女孩,958234
芽籠,1029178
驚獄77,913991
《樂隊舞台》——男孩們回來了（音樂劇）,Not Found
過去那五年（音樂劇）,Not Found
霍爾的移動城堡,4935
影子軍隊,15383
捍衛任務,603692
珍愛熱線,579496
戴珍珠耳環的少女,3635
少年Pi的奇幻漂流（英國國家劇院現場）,Not Found
馴悍記（莎翁經典劇集）,Not Found
布拉格的春天,Not Found
海霧,734732
4拍4家族,1063554
沉默之海,40650
神父李昂莫罕,Not Found
盛開紫羅蘭：西蒙波娃與薇奧麗賴朵絲,Not Found
 小嫉妒,803688
智利，我的理想國,Not Found
革命＋1,1026301
釀魂,1147689
簡稱：連續射殺魔,Not Found
馬克斯，我的愛,Not Found
鐵男：金屬獸,41428
死亡解剖,36215
中國女人,1629
蘇州河,11599
沙特與波娃,Not Found
花神咖啡館,85033
白晝的惡魔,Not Found
日本春歌考,77124
廣島之戀,5544
鴻運女,83183
印度之歌,85927
沒有你的旅程,586813
太陽的墓場,111718
青春殘酷物語,Not Found
大病人,83205
奇愛博士,935
長別離,131836
赤軍殘酷內鬥暗黑史,46101
舞動人生,71
幻之光,18872
薄荷糖,41245
狼少年：不朽的愛,128246
賭徒鮑伯,Not Found
鑽石水族世界,1016255
莒哈絲最後的情人,Not Found
愛瑪（音樂劇）,Not Found
孩子， 你好嗎 ? 鴕鳥騎士,1114322
陸上行舟,9343
無理心中日本之夏,48515
藍色的你,971699
愛情，不用翻譯 ,153
小子,939243
赤軍：PFLP世界戰爭宣言,Not Found
鐵男II：血肉橫飛,Not Found
人體動物圖鑑：烏龜的殼其實是肋骨,1021860
直線偏執狂（英國國家劇院現場）,Not Found
歸來的醉漢,Not Found
留愛在蔚藍海岸,Not Found
慾望之翼,28468
海鷗 （英國國家劇院現場）,Not Found
也許是因為美的決心,Not Found
春日郊遊/推特事/塑膠情人,Not Found
戰火邊緣的青春,853084
666號房,118257
現場·戰場·夢工場,Not Found
情書/鷺鷥河/二重奏/返來呷飯,Not Found
孩子， 你好嗎 ? 我是誰?,1114324
塵埃之書：野美人號（英國國家劇院現場）,Not Found
感官世界,5879
千年決鬥,Not Found
下一站，天國,17962
無人知曉的夏日清晨,2517
春水奇譚/屍舞/有了？！,Not Found
水上迴光,Not Found
童魘,9613
BE : the ONE,543094
魔法公主,128
崖上的波妞,12429
魍神之夜/食夢者/殭屍外公,Not Found
切格瓦拉滿天下,Not Found
令人討厭的松子的一生,31512
夜校,1177518
橫山家之味,25050
古董局中局,820099
戰爭開打之際,967874
惡水真相,560008
失衡凶間之罪與殺,988900
高跟鞋 經典數位修復,Not Found
狂琴畸戀,85032
HELLO WORLD,604605
東京復仇者,698201
天外者,746257
飛躍吧！金牌英雄,Not Found
我是一片雲〈修復版〉,Not Found
阿基拉,149
是誰得手林布蘭？,Not Found
不思議女人,429191
醉好的時光,580175
星星知我心,478860
革命前夕的摩托車日記,1653
彩雲飛,438210
風兒踢踏踩,87953
教會,11416
郵差,11010
熱帶雨,584242
非常母親,30018
烈火情人,11012
85年的夏天,659959
寄生上流,496243
竊聽風暴,582
再見了！茱莉亞,1111750
破墓,838209
薩滿,745881
犯罪都市4,1017163
SEVENTEEN TOUR 'FOLLOW' AGAIN TO CINEMAS,1317874
再見，福寶,1314450
亡命機劫,1147710
BLACKPINK WORLD TOUR [BORN PINK] IN CINEMAS,1307028
寂噤計畫,726139
變身機長,965094
JUNG KOOK: I AM STILL,1315707
aespa: MY First page,1229421
屍咒,724885
絕地逃生,921436
外星+人2：回到未來,626412
辣手警探2,995926
 SUGA | Agust D TOUR ‘D-DAY’ THE MOVIE,1292186
鬼花園 : 詛咒,977156
超完美暗殺隊,865910
聽說,41531
IVE The 1st World Tour in Cinema,1361488
她死了,743815
找死凶宅,736720
"HIGHLIGHT “LIGHTS GO ON, AGAIN” IN CINEMA",1359210
神鬼對決,1007127
心葬,660355
金派特攻隊,696047
Baekhyun: Lonsdaleite [dot] in Cinemas,1375053
aespa: WORLD TOUR in Cinemas,1262209
"RM:Right People, Wrong Place",Not Found
窺鏡,936245
鬼媽媽的假期,661681
JUNG KOOK: I AM STILL THE PARTY EDITION,1315707
NCT DREAM Mystery Lab: DREAM,1390590
EYES ON ME : THE MOVIE,638483
在熙的男，朋友,1154154
攔截聲命線,644714
首爾單身日記,717088
BTOB,1135965
邪體：鬼拼屠,987538
60分鐘亡命直播,838206
露梁：死亡之海,660360
日日好狗日,876127
TAEYONG: TY TRACK IN CINEMAS,1338226
警賊黑白衝,1063814
塔羅牌,719221
非普通家族,973628
惡獸之戰,799710
XIA CONCERT MOVIE CHAPTER 1：RECREATION,Not Found
當我的指尖觸碰到你的溫度時,1234114
幸福國度,783111
薩滿新娘,1314446
恐怖日常怪談,987072
FIGHTING！女孩們,1091051
愛殺特攻隊,746349
惡鄰羅曼史,1005533
《劇場版 SUPER WINGS：究極加速》,Not Found
腦海中的橡皮擦,15859
下女的誘惑 經典重映,Not Found
那年夏天，想見妳,1117291
韓國都市恐怖怪談：詭手,717712
Strike！娜英,1106501
彼此的日子 In Our Day,1114775
旅人所嚮,1146410
EPIK HIGH 20 THE MOVIE,1252163
美麗的聲音,40167
皇后復仇中,976581
超危險警探,978592
200%小狼人,Not Found
失控教室,998022
56種喝采,888768
怪奇家族,4011
野火蔓延時,900379
戰火下的小狐狸,936117
金髮毒藥,982202
飛鳥總動員,1061855
全面監視,951051
未來的我們,623184
巴赫曼-沙漠追愛之旅,978580
維莉狄雅娜,Not Found
最後一次的生日派對,958186
惡夢偵相,772450
被遺忘的人,548544
泯滅天使,29264
薩滿男孩,730256
如果我可以冬眠,986855
愛與怒,Not Found
盜墓奇美拉,837335
如果可以再死一次,700819
少年的漂浪旅程,937746
我們還有明天,1026227
教宗家的小兒子,801112
流浪吉普賽,1023962
歡迎光臨黑手黨餐廳,838876
蓋世怪胎,571468
盛夏最溫暖的初戀,1043997
不存在的騎士,Not Found
鬼影直播,1070535
生活瑣事,3423
 情慾出走的女人,998625
流氓驅魔師,1280832
小孩不笨3,1287250
錢不夠用3：全部夠用,1238576
罪惡對決,1027073
這就是聖誕節,1190301
踹你死功夫,1050904
柏格曼的幽靈,1219824
富豪遊戲,1078810
湄公河水鬼,1309123
鬼怨偶,1202618
媽的人生願望,1258626
再愛一次,1210973
鬼厄犬,1222274
鬼妹,820232
草迷宮恐怖殺人事件,1327383
血色之路,989589
人類之巔3,951048
靠近維梅爾,1090031
鬼聲泣,1134433
金孫爆富攻略,1103621
鬼聲泣2,1247019
屍控戰場,1244361
跳越時空的愛戀,1167366
屍油降,1241429
鬼妻塚,1181045
鬼面女,1102510
猛鬼大學：邪無止禁,1226170
猛鬼聲泣泣,Not Found
死命必達,1288175
鬼碟仙,1322616
邪妓,1100705
哈囉！萌鬼屋,1257388
鬼禁地,1143959
他的最後一個朋友,1093215
404宿靈速速逃,1290213
暹羅詛咒,1113142
分期付款愛上你,1052160
荊棘天堂,1290206
鬼影,1070535
惡業,1224589
屍控大賣場,1072493
可恨的初戀！,1072582
唐人街恰恰,1113071
女畫家與偷畫賊,654170
荒野心家園,1208994
催眠,68477
馬奎斯之愛與群魔,Not Found
九龍城寨之圍城,923667
焚城,1305642
破·地獄,1226141
臨時劫案,991197
誤判,1128650
海關戰線,989909
但願人長久,942074
七月返歸,1063863
2046 4K數位修復版,Not Found
我談的那場戀愛,1136690
怨泊,1050491
東邪西毒：終極版,Not Found
白晝如焚,993156
武替道,1095805
幻愛,674813
濁水漂流,740467
爆裂點,1020784
飯戲攻心2,1187970
填詞L,998137
不是你不愛你,1184505
詩,1098275
從今以後,1157680
源生罪,991193
反貪風暴之加密危機,1228545
春光乍洩  4K數位修復版,Not Found
爸爸,519182
來世還作人,1117166
全個世界都有電話,1100901
父親,974453
夢想集中營,467244
逃出狂鯊島,804616
巴黎，德州,655
九命貓的奇幻旅程,567811
森之聲：猩火燎原,785429
失速芭蕾,714675
嗜殺路人甲,1010600
小熊維尼2：噬血維尼,1079485
鳥,381733
凡尼亞（英國國家劇院現場）,1189877
黑水巷,1215918
老橡樹酒館,970348
布勒合唱團：直到盡頭 ,1274238
邪厄恩典,879689
老鬼當家 ,269509
好人赫德（英國國家劇院現場）,1060258
致英格蘭（英國國家劇院現場）,Not Found
布勒合唱團：溫布利球場演唱會,1274237
激情年代（英國國家劇院現場）,Not Found
天生女王,896639
怪胎女孩,935906
地獄灰姑娘,1130053
Laufey's A Night at the Symphony: Hollywood Bowl,1375774
非關性愛,1075175
忙愛不如盲婚,800301
平克佛洛伊德：迷牆,12104
尋找小津,76406
城市時裝速記,Not Found
法蘭克,171372
腦筋急轉彎2 ,1022789
小丑,1034541
死侍與金鋼狼,533535
哥吉拉與金剛 : 新帝國,823464
沙丘：第二部,693134
神偷奶爸 4,519182
猛毒最終章：最後一舞,912649
異形：羅穆路斯,945961
海洋奇緣2,1241982
猩球崛起：王國誕生,653346
龍捲風暴,718821
絕地戰警：生死與共,573435
小丑：雙重瘋狂 ,889737
神鬼戰士 2,558449
蜂刑者,866398
芙莉歐莎：瘋狂麥斯傳奇篇章,786892
噤界：入侵日,762441
荒野機器人,1184918
魔法壞女巫,402431
可憐的東西,792307
紅色一號,845781
獅子王：木法沙,762509
星際效應,157336
功夫熊貓 4,1011985
台北追緝令,1167271
機密特務:阿蓋爾,848538
特技玩家,746036
變形金剛：源起,698687
懼裂,933260
帝國浩劫：美國內戰,929590
蜘蛛夫人,634492
飛鴨向前衝,940551
加菲貓：農場大冒險,748783
獵人克萊文,539972
圈套,1032823
陰間大法師 BEETLEJUICE,917496
長腿,1226578
天眼救援,969492
微笑 2,1100782
幻幻之交,639720
音速小子 3,939243
魔鬼剋星：冰天凍地,967847
非紳士特攻隊,799583
極限長征,618588
邪惡勿語,1114513
隔壁的房間,1088514
天魔：惡之初,437342
愛愛愛上你,1072790
鬼聖胎,1041613
伏慄熊,1125311
窒命危機,720321
邊緣禁地,365177
龍族戰神：重生,957452
噬血芭蕾,1111873
窺探者,1086747
飛月情海,956842
劊樂小丑3,1034541
異教詭屋,1138194
魔戒：洛汗人之戰,839033
到我們為止,1079091
當殺手戀愛時,974635
鬼袋人,978796
銀翼殺手最終版,Not Found
挑戰者,937287
求救眨眨眼,840705
叛諜檔案,927107
地獄怪客：歪曲人的詛咒,1087822
青春養成記,508947
千萬別放手,814889
救援生死線,628922
艾諾拉,1064213
怒火狂猴,560016
滯留生,840430
滅世男孩,882059
超完美家政婦,1064028
失憶殺神,972614
孤狼救援,5492
幕前幕後：范克萊本鋼琴大賽,1154882
佩佩的電影派對（國語版）,Not Found
一個人的逃亡,944194
蜘蛛驚,1087388
羅素克洛之大法師,646683
雷鬼之父：音樂無國界,802219
驚爆封鎖線,1081012
逃出搶錢鎮,974250
愛在黎明破曉時,76
愛在日落巴黎時,80
天使之心,975056
不羈騎士,1008409
貓王與我,1020006
熊貓大冒險 ,676685
師情化慾,1026436
麥可傑克森：未來的未來演唱會電影,13576
樂一通大戰外星人：粉紅末日,870360
太陽王與人魚：新帝國,245842
彼岸的真相,1162322
劊樂小丑2,663712
超／人：克里斯多夫李維傳奇故事,1128559
白南準：月亮是最古早的電視,916738
狸太怨,1019939
瓊拜雅：三重人格,1075815
超級殺,1165466
來自地獄的邪靈,913673
劊樂小丑,1034541
保羅‧賽門：無眠樂章,1153454
霸愛之路,1000780
醉鄉民謠,86829
紀伯倫哈利勒：先知,283161
靈魂的重量,470
死亡日記,1443
末世生存者,1051896
全力揮擊,1079810
終極制裁者,Not Found
鬼氣球,1246014
靈寓,1219522
我不是教你詐,1137196
末日倒數12小時,864101
狗狗歌劇院,1112357
海豚男孩-國語版,Not Found
阿爾及爾的末代王后,958161
鬼燭靈,1211728
農民：愛慾情謎,734002
上流誘惑,1048516
禁忌之慾,1017066
真愛未了情,12652
中產階級拘謹的魅力,4593
熟男不疑惑,42454
當警探戀愛時,3427
女僕日記,Not Found
自由的幻影,5558
青樓怨婦,649
惡狼年代,Not Found
朦朧的慾望,5781
珍妮德爾曼,Not Found
她與他們的愛情,Not Found
再見機器人,838240
墜惡真相,915935
火上鍋,964960
瑪麗亞‧蒙特梭利,959395
艾曼紐1974 4K修復版導演版,Not Found
艾曼紐2024,976576
熱血搜救隊：翻轉世界,Not Found
明天我就不幹了！,792614
瑪格麗特戀習題,960033
超時空愛殺,914206
我愛你，你愛她，她愛他,661935
時髦女子,995746
宮殿大飯店,824016
再見哥雅：卡葉爾與布紐爾的最後巡禮 ,970398
給我個機會,995408
日安，朵朵,1004555
萬事通大全,888003
逆轉廢材人生,965791
絕命樂透彩,1216452
響亮心重奏,1000866
巴黎頌紐約情,Not Found
歡迎菜老師,934506
鄰家密友,961082
手榴彈‧革命‧還有愛與詩,495278
愛離巢,989238
噠噠噠達利,1045770
日落喜劇,995808
戰地琴人,423
魔籽公主,970867
安達魯之犬,626
大發明家,676727
戰火浮生錄,37335
男歡女愛,42726
妙想天開,412180
石榴的顏色,Not Found
特莉絲坦娜,Not Found
承諾大海的老師,1024541
安眠殺機,1235926
我的母親 經典數位修復,Not Found
雙眼之間,997294
地下終劫站,1276210
兩萬種蜜蜂,1053600
悄悄告訴她 經典數位修復,Not Found
玩美女人 經典數位修復,Not Found
她們的盛夏微愛,1088851
顫抖的慾望 經典數位修復,Not Found
破碎的擁抱 經典數位修復,Not Found
風流西班牙: 摩洛哥情事,1074049
在路上男情難未了,Not Found
馬奎斯如何成為馬奎斯,Not Found
布紐爾:超現實電影人,Not Found
殺,1041317
你是我眼中的那道光,927547
模範生禁愛秘密,Not Found
鬼舞村：詛咒起源,1176166
鬼咧號,1128936
薇娜：死後七日,1148817
血繼,1264429
全境炸裂,1126128
網紅教慾,987419
吶喊雷克雅維克,Not Found
我最喜歡的蛋糕,1234591
國有器官,Not Found
人道主義吸血鬼徵求自願獻身者,988402
親愛的愛莉絲,850028
愛情本性論,912520
紅色房間,912480
無法融化的祕密,923387
魔女荷莉,989496
給我愛過的前任們,989232
劇場版 排球少年!! 垃圾場的決戰,1012201
名偵探柯南 100萬美元的五稜星,1209217
SPY x FAMILY CODE: White,1062807
電影蠟筆小新：我們的恐龍日記,1221404
驀然回首,1244492
「鬼滅之刃」 絆之奇蹟，邁向柱訓練,1216221
電影哆啦A夢：大雄的地球交響樂,1148677
劇場版 藍色監獄 -EPISODE 凪-,1104844
機動戰士鋼彈 SEED FREEDOM,1146972
特別總集篇 名偵探柯南 vs. 怪盜基德,1244064
我的英雄學院劇場版：You’re Next,1159311
鬼太郎誕生：咯咯咯之謎,904759
你的名字。,372058
我的英雄學院劇場版：英雄新世紀,592350
劇場版 OVERLORD - 聖王國篇,1014505
GIVEN被贈與的未來劇場版：柊mix,1230477
角落小夥伴電影版：奇幻的玩具工廠,1148588
LAST MILE：全面引爆,1276108
去唱卡拉OK吧！,1070507
劇場版 賽馬娘Pretty Derby：新時代之門,1223178
我獨自升級：二次覺醒,1357633
劇場總集篇 孤獨搖滾！Re:,1129610
貓的報恩,15370
劇場總集篇 孤獨搖滾！Re:Re:,1201387
GIVEN~被贈與的未來 劇場版,632632
刀劍神域劇場版-序列爭戰,413594
《少女與戰車 最終章》 第４話,1051192
電影版屁屁偵探：再見親愛的夥伴，屁屁啊,Not Found
與夢前行  宮﨑駿,1292585
情書,47002
秒速5公分,38142
四月，她將到來。,1120846
孤獨搖滾！團結Band LIVE-恆星-,1152767
鋼之鍊金術師BROTHERHOOD 15週年特別版,Not Found
銀魂劇場版 2D 一國傾城篇,1266097
光之美少女電影 ALL STARS F,1094448
少女與戰車 劇場版,357405
成為星星的少女,1216623
超人力霸王布雷薩 THE MOVIE：大怪獸東京決戰,Not Found
五等分的新娘*,820067
劇場版 轉生成女性向遊戲只有毀滅 END 的壞人大小姐,997086
陰陽師0,1201210
詭異之家,1188456
