,Year,MovieId,Name,tmdb_id,tmdb_title
145,2022,21047,邊緣行者,941132,邊緣行者
146,2022,20697,秋天的童話,64015,秋天的童話
147,2022,21801,繼園臺七號,616020,繼園臺七號
148,2022,23391,正義迴廊,1005251,正義迴廊
149,2022,21812,美少年之戀,27060,美少年之戀
150,2022,21517,喜歡妳是妳,876189,喜歡妳是妳
151,2022,22231,一路瞳行,838119,一路瞳行
152,2022,23317,無間道,10775,無間道
154,2022,22085,玫瑰的故事,1325023,玫瑰的故事
155,2022,21978,流金歲月,255856,流金歲月
156,2022,22435,心裏美,987446,心裏美
158,2022,21123,海上花,45935,海上花
160,2022,23367,無間道II,11647,無間道II
161,2022,23349,無間道III：終極無間,14310,無間道III：終極無間
164,2022,22758,流浪者之歌,861947,流浪者之歌
165,2022,22755,卡拉之歌,2143,卡拉之歌
166,2022,20515,時代革命,850884,時代革命
169,2022,7689,發條橘子,185,發條橘子
170,2022,22525,瘋狂富作用,497828,瘋狂富作用
171,2022,21017,鯊顫,960258,鯊顫
172,2022,20802,餐廳失控夜,807196,餐廳失控夜
173,2022,22117,士兵與軍官,797838,士兵與軍官
175,2022,20693,極限逃殺,924482,極限逃殺
176,2022,22611,如果驢知道,785398,如果驢知道
177,2022,19272,算牌手,643532,算牌手
179,2022,21906,我們的英搖時光,624793,我們的英搖時光
180,2022,20076,愛上費加洛,508444,愛上費加洛
182,2022,18530,裸體午餐,2742,裸體午餐
184,2022,14480,超速性追緝,884,超速性追緝
186,2022,22260,性愛成癮的男人,76025,性愛成癮的男人
189,2022,20827,瑪莉娜的512小時,816344,瑪莉娜的512小時
192,2022,11227,山那邊的青稞田,496404,山那邊的青稞田
196,2022,22880,大製片家,844176,大製片家
197,2022,20291,毫無意義,42035,毫無意義
202,2022,20189,蜘蛛人：無家日,634649,蜘蛛人：無家日
203,2022,23322,阿凡達：水之道,76600,阿凡達：水之道
205,2022,19885,永恆族,524434,永恆族
207,2022,21054,奇異博士2：失控多重宇宙,453395,奇異博士2：失控多重宇宙
208,2022,21741,雷神索爾：愛與雷霆,616037,雷神索爾：愛與雷霆
209,2022,20277,金牌特務：金士曼起源,476669,金牌特務：金士曼起源
210,2022,19639,猛毒2：血蜘蛛,580489,猛毒2：血蜘蛛
211,2022,19182,沙丘,438631,沙丘
213,2022,19150,尚氣與十環傳奇,566525,尚氣與十環傳奇
214,2022,22676,黑亞當,436270,黑亞當
216,2022,20587,蝙蝠俠,414906,蝙蝠俠
217,2022,20863,怪獸與鄧不利多的秘密,338953,怪獸與鄧不利多的秘密
218,2022,21777,子彈列車,718930,子彈列車
219,2022,20539,秘境探險,335787,秘境探險
220,2022,18984,脫稿玩家,550988,脫稿玩家
221,2022,20828,媽的多重宇宙,545611,媽的多重宇宙
222,2022,20215,駭客任務：復活,624860,駭客任務：復活
223,2022,20484,月球隕落,406759,月球隕落
224,2022,19984,惡靈古堡首部曲：拉昆市,460458,惡靈古堡首部曲：拉昆市
225,2022,20786,魔比斯,526896,魔比斯
226,2022,18891,黑寡婦,497698,黑寡婦
227,2022,21422,巴斯光年,718789,巴斯光年
228,2022,20470,尼羅河謀殺案,505026,尼羅河謀殺案
229,2022,20050,魔法滿屋,568124,魔法滿屋
230,2022,22373,微笑,882598,微笑
232,2022,20748,失落謎城,752623,失落謎城
233,2022,21742,雷神索爾：愛與雷霆,616037,雷神索爾：愛與雷霆
234,2022,20580,劫命救護,763285,劫命救護
235,2022,21821,孤兒怨2：最黑暗的過去,760161,孤兒怨2：最黑暗的過去
237,2022,20635,壞蛋聯盟,629542,壞蛋聯盟
238,2022,18983,汪汪隊立大功電影版,675445,汪汪隊立大功電影版
239,2022,22355,幸福入場券,800939,幸福入場券
241,2022,22663,五星饗魘,593643,五星饗魘
242,2022,18759,厲陰宅3：是惡魔逼我的,423108,厲陰宅3：是惡魔逼我的
245,2022,21837,DC超級寵物軍團,539681,DC超級寵物軍團
246,2022,18014,捍衛救援,634528,捍衛救援
247,2022,18846,路卡的夏天,508943,路卡的夏天
249,2022,20403,夜路,597208,夜路
251,2022,19688,法蘭西特派週報,542178,法蘭西特派週報
252,2022,18925,寶貝老闆：家大業大,459151,寶貝老闆：家大業大
253,2022,22337,墜,985939,墜
254,2022,18816,殺手保鑣2,522931,殺手保鑣2
255,2022,23155,決戰38度線,653851,決戰38度線
256,2022,20582,黑光行動,823625,黑光行動
257,2022,18866,密弒遊戲2：勝者危亡,585216,密弒遊戲2：勝者危亡
258,2022,19161,疾厄,619778,疾厄
259,2022,22879,鬼禱,676547,鬼禱
260,2022,20241,闇黑電話,756999,闇黑電話
261,2022,20925,超吉任務,648579,超吉任務
262,2022,7858,以你的名字呼喚我,398818,以你的名字呼喚我
263,2022,20104,哈利波特：神秘的魔法石,671,哈利波特：神秘的魔法石
264,2022,18958,暫時停止呼吸2,482373,暫時停止呼吸2
265,2022,18824,疾凍救援,646207,疾凍救援
266,2022,23153,暴戾夜,899112,暴戾夜
267,2022,20294,355：諜影特攻,522016,355：諜影特攻
268,2022,19817,天兵阿榮,482321,天兵阿榮
