MovieId,Rank,Region,Name,ReleaseDate,Publisher,DayCount,TheaterCount,Amount,AmountRate,Tickets,TicketRate,MarketShare,TotalDayCount,TotalAmount,TotalTickets,FirstWeekAmount,TotalWeekendAmount,Year,Name_search,Name_map,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,title_map
22239,11,韓國,語意錯誤電影版,2022-09-08,ATRIUM PRODUCTIONS KFT,82.0,24,8129335,0,31630,0,0.001412886985524,92,8129335,31630,3245211,5233689,2022,語意錯誤電影版,語意錯誤電影版,False,/5CdmpTPn5RAHjdByNnJ4iw3cFfz.jpg,"[18, 10749]",993885.0,ko,시맨틱 에러: 더 무비,資工系大三生秋尚宇 (朴宰燦 飾) ，雖然成績優越並精通程式設計，卻是個沒有存在感的邊緣人。視覺設計系大四生張宰英 (朴栖含 飾)，則是個擁有模特兒身材與帥氣臉蛋的風雲人物。某次通識課報告上，秋尚宇把豬隊友從組員名單中刪除，連帶害得張宰英遭受延畢。不過，秋尚宇策畫製作的手遊出狀況，原本配合設計的學姐無法繼續合作，沒想到學姐推薦的另一位人選，正是因為「被延畢」而對秋尚宇心懷不滿的張宰英。究竟原則主義的理工男，遇上放蕩不羈的藝術男，個性截然不同的兩人，將會碰撞出什麼樣的火花呢？,2.65,/zQ1hc9OEqxUSkCoctcRjRGWhf20.jpg,2022-09-08,語意錯誤電影版,True,7.4,11.0,語意錯誤電影版
21763,12,韓國,分手的決心,2022-07-15,RELAY MOTION KFT.,69.0,57,7031402,0,28366,0,0.001267086697166,86,7031402,28366,3198342,4288004,2022,分手的決心,分手的決心,False,/fXmaCa7bE5mp9AMkVT8cKaI5GMK.jpg,"[53, 9648, 10749]",705996.0,ko,헤어질 결심,一名男子從山頂墜落的變故事件，負責刑警海俊（朴海日），將面對死者的妻子徐來（湯唯）。在丈夫的面前，沒有表現出特別激動的徐來，警方將與普通遺屬不同的她列入嫌疑人名單。海俊是案發當天的不在場證明探詢和報紙，通過潜伏調查瞭解她，感覺到對她的關注越來越大。,36.071,/ukGPvnKW1BAwf3d8ORMEw0ayNiS.jpg,2022-06-29,分手的決心,False,7.3,1241.0,分手的決心
20398,13,韓國,極速快遞,2022-01-28,RELAY MOTION KFT.,34.0,55,6374008,0,27087,0,0.001209954782702,34,6374008,27087,3687510,3207196,2022,極速快遞,極速快遞,False,/lonLErm7OcVR8gnc1t2kRwuuxDm.jpg,"[28, 80]",606403.0,ko,특송,銀河（朴素談 飾）是名特別的駕駛，只要能拿到報酬，不論什麼東西都能配送成功。某天在她讓孩子書元（鄭賢俊 飾）上車後，竟捲入了出乎意料的事件中……,17.177,/tHP7qOr91xcURHJXAdxinsDHO9s.jpg,2022-01-12,極速快遞,False,7.005,184.0,極速快遞
22925,14,韓國,局中局,2022-11-04,RELAY MOTION KFT.,40.0,67,6046995,0,25334,0,0.001131649664599,40,6046995,25334,4049076,4223481,2022,局中局,局中局,False,/p6YKmSgBU54L3MPeyXCS0mC0nM1.jpg,"[80, 53, 9648]",634595.0,ko,자백,敏豪遭威脅要爆料他外遇一事而只好前往某家飯店，卻被某人攻擊而昏倒。當他清醒時，卻發現婚外情對象世熙已身亡，在案發現場並無發現其他人的痕跡，因此敏豪立刻被認定為主嫌。原本是名成功企業家的敏豪，因為被視為嫌犯而陷入危機，為了拯救自己的一切，他找上了律師信愛。  訴訟勝率百分之百的信愛，為了打贏這次的官司，他要求敏豪必須對她坦白一切。在下雪的深山別墅裡見面的兩人，開始一片一片地拼起這事件的碎片，沒想到卻……,6.377,/ndlDgCjNbGnAFxFfQ4cSfVFUj1f.jpg,2022-11-04,局中局,True,7.3,39.0,局中局
20981,15,韓國,SEVENTEEN POWER OF LOVE : THE MOVIE,2022-04-20,CJ 4DPLEX CO. Ltd.,28.0,10,3078150,0,5961,0,0.000266273136917,35,3078150,5961,2532300,2790172,2022,SEVENTEEN POWER OF LOVE : THE MOVIE,SEVENTEENPOWEROFLOVE:THEMOVIE,False,,"[10402, 99]",946615.0,ko,세븐틴 파워 오브 러브 : 더 무비,"Features powerful performances, in-depth interviews with the 13 members, and commentaries on their past, present, and future they will create with CARATs.",1.02,/xyo9vBg4WfR0RnjTIWCcZJTUq4G.jpg,2022-04-28,SEVENTEEN POWER OF LOVE : THE MOVIE,False,10.0,1.0,SEVENTEENPOWEROFLOVE:THEMOVIE
23015,16,韓國,厄憶追凶,2022-11-18,RELAY MOTION KFT.,27.0,61,2859530,0,12369,0,0.000552513408913,27,2859530,12369,2333168,1850517,2022,厄憶追凶,厄憶追凶,False,/ru2LECaGqWtsL3kRWWJ3EoDlF5J.jpg,"[53, 28, 18]",633374.0,ko,리멤버,韓弼洙（李星民 飾）是名罹患阿茲海默症的腦瘤末期患者。在日本占領韓國時期，因為親日派的關係，讓他失去所有家人。在弼洙的妻子過世後，他打算去執行自己耗費60多年的時間所構思的復仇計畫。於是弼洙委託他的忘年之交——20多歲的仁奎（南柱赫 飾），擔任他一週的司機。毫不知情的仁奎跟著弼洙來到第一個復仇現場，沒想到卻被監視器拍到，成為頭號嫌犯。而在警方逐漸縮小搜查範圍時，弼洙則和漸漸消失的記憶拉鋸不休，繼續實行他的復仇計畫……,13.557,/mgMZ3dmGSPwwaT6MNHBhN7cvuUB.jpg,2022-11-18,厄憶追凶,False,7.5,92.0,厄憶追凶
18813,17,韓國,金派特務,2021-10-29,KT HITEL CO. LTD.,47.0,5,97300,0,1319,0,5.891868270332854e-05,85,2698531,12405,1801355,1881897,2022,金派特務,金派特務,False,/o37Ajo7Ii9L9qi5tGxxAWodyCWt.jpg,"[35, 28, 53]",629028.0,ko,미션 파서블,根據線報，大量走私槍枝即將流入韓國，菜鳥特務流茶熙（李先彬 飾演）被指派前往韓國進行機密調查，為確保任務順利，進而尋求國情局的「優秀」臥底協助，卻陰錯陽差遇上笨手笨腳又貪財的私家偵探禹手罕（金英光 飾演）。,18.069,/feVcFwTnSQsuJ9YzPPnd09gwIx8.jpg,2021-10-29,金派特務,False,7.497,176.0,金派特務
20553,18,韓國,PHANTOM: THE MUSICAL FILM,2022-02-18,WYS en Scene Co. Ltd.,33.0,7,2697970,0,3489,0,0.000155850859705,33,2697970,3489,1523430,1542260,2022,PHANTOM: THE MUSICAL FILM,PHANTOM:THEMUSICALFILM,,,,,,,,,,,,,,,
22004,19,韓國,韓山島海戰,2022-08-19,RELAY MOTION KFT.,35.0,57,2632400,0,11104,0,0.000496006863334,35,2632400,11104,1993853,1619496,2022,韓山島海戰,韓山島海戰,False,/gqqfN3XeWZcZZ2uQQEEFp3fHfSp.jpg,"[10752, 28, 18, 36]",588108.0,ko,한산: 용의 출현,"在鳴梁海戰發生的五年前，為了保衛陷入守勢狀態的朝鮮，李舜臣將軍與朝鮮水軍將以非凡的戰略和霸氣,展開氣勢磅礡的「閑山島海戰」。",26.166,/cte9iJwSk9oisyB9N1DZw4VZNCP.jpg,2022-08-19,韓山島海戰,False,6.4,69.0,韓山島海戰
23248,20,韓國,晝盲神探,2022-12-09,RELAY MOTION KFT.,23.0,53,2467555,0,10463,0,0.000467373902293,38,2467555,10463,1735013,1652347,2022,晝盲神探,晝盲神探,False,/qpMRsjLBI9tVL8T6kzgojbhfyyh.jpg,"[53, 9648]",806128.0,ko,올빼미,京秀（柳俊烈 飾）是名盲人，卻擁有精湛的針灸術，御醫李亨益認可他的才能，而讓他入宮。當時，遭清國以人質身分帶走的昭顯世子（金聖喆 飾）睽違8年回到朝鮮，開心迎接兒子歸國的仁祖（柳海真 飾），卻開始感到不安……某夜，在黑暗中擁有模糊視力的京秀，親眼目睹昭顯世子的死亡，在他打算揭開真相的瞬間，卻發現更大的陰謀和祕密，讓自己的性命受到威脅。兒子死後，仁祖內心的不安讓他性情變得暴躁。而目擊世子之死的京秀，也漸漸發現與事件有關人物的真實面貌……,6.527,/gOUr1n51b6S1OCMQBU5kxryUOSx.jpg,2022-12-09,晝盲神探,False,7.4,52.0,晝盲神探
