movie_id,Name_id,name,Actor,Director
630217,1916075,李奎炯,Yes,No
630217,1388365,許成泰,Yes,No
630217,572182,全盧民,Yes,No
630217,2133923,이중옥,Yes,No
626129,1263930,千玗嬉,Yes,No
626129,25004,申河均,Yes,No
626129,588209,李慧英,Yes,No
626129,1988598,朴智賢,Yes,No
626129,2313835,차래형,Yes,No
573787,85008,설경구,Yes,No
573787,115290,李善均,Yes,No
573787,1336804,劉宰明,Yes,No
573787,1566012,趙祐鎮,Yes,No
573787,1277308,朴仁煥,Yes,No
958937,146114,"Hong Huifang",Yes,No
958937,3229192,姜亨碩,Yes,No
958937,1239245,鄭東煥,Yes,No
958937,2199863,"Shane Pow",Yes,No
958937,1207629,呂珍九,Yes,No
743814,1346848,延玗臻,Yes,No
743814,2079947,"Ji an",Yes,No
743814,551171,趙成夏,Yes,No
743814,552072,丁奎秀,Yes,No
743814,3441296,"Kim Ji-chul",Yes,No
817557,1299516,宋詩曦,Yes,No
817557,980225,羅美蘭,Yes,No
817557,86330,李凡秀,Yes,No
817557,231476,李璟榮,Yes,No
817557,1856377,吳代煥,Yes,No
581390,85008,설경구,Yes,No
581390,1337780,卞約漢,Yes,No
581390,1572354,李姃垠,Yes,No
581390,1386418,敏度希,Yes,No
581390,2101538,차순배,Yes,No
840528,1254424,강별,Yes,No
840528,2604508,"Park Yeon-woo",Yes,No
840528,1252955,姜勝賢,Yes,No
840528,1654631,송영규,Yes,No
795797,2288848,신석호,Yes,No
795797,2973301,朴美姬,Yes,No
795797,232034,김영호,Yes,No
795797,1106129,芮智媛,Yes,No
795797,64454,기주봉,Yes,No
817480,1255801,조동혁,Yes,No
817480,1454804,車善玗,Yes,No
817480,3312256,장석현,Yes,No
817480,3312258,"Lim Young-joo",Yes,No
817480,2621979,"Han Chae-kyung",Yes,No
589713,1346848,延玗臻,Yes,No
589713,123820,金相浩,Yes,No
589713,1252318,IU,Yes,No
589713,1425274,文淑,Yes,No
589713,2042978,이주영,Yes,No
820517,588209,李慧英,Yes,No
820517,1887586,趙胤熙,Yes,No
820517,554945,權海驍,Yes,No
820517,2288848,신석호,Yes,No
820517,1374555,김새벽,Yes,No
928713,588209,李慧英,Yes,No
928713,123664,김민희,Yes,No
928713,564849,서영화,Yes,No
928713,2973301,朴美姬,Yes,No
928713,554945,權海驍,Yes,No
743475,2886237,"Lee Bong-ha",Yes,No
743475,2886238,"Kim Ah-seok",Yes,No
743475,560079,신운섭,Yes,No
743475,2752568,"Kim Jeong-yeon",Yes,No
934207,103390,"Aisha Dee",Yes,No
934207,3407602,"Emily De Margheriti",Yes,No
934207,2101968,"Hannah Barlow",Yes,Yes
934207,1759490,"Daniel Monks",Yes,No
934207,2611199,葉林·韓,Yes,No
889507,3326960,"Jeff Lai",Yes,No
889507,3326961,"Ariel Ng",Yes,No
889507,3326962,"Dickens Ko",Yes,No
575764,3113066,"Ismail Adouab",Yes,No
575764,3113067,"Nouhaila Arif",Yes,No
575764,3113068,"Samah Baricou",Yes,No
575764,3113069,"Abdelilah Basbousi",Yes,No
575764,3113070,"Anas Basbousi",Yes,No
