id,name,movie_id
57199,Mark Mylod,593643
1607672,Michael Chaves,423108
89027,Jared Stern,539681
4746,Robert Lorenz,634528
930567,Enrico Casarosa,508943
10828,Guillermo del Toro,597208
5655,魏斯·安德森,542178
18864,Tom McGrath,459151
90812,Scott Mann,985939
143059,Patrick Hughes,522931
1485406,J.D. Dillard,653851
206574,Mark Williams,823625
1306608,Adam Robitel,585216
2127,溫子仁,619778
120245,Daniel Stamm,676547
55499,Scott Derrickson,756999
1211000,Tom Gormican,648579
78160,盧卡·格達戈尼諾,398818
10965,Chris Columbus,671
1046225,Rodo Sayagues,482373
876,Jonathan Hensleigh,646207
76927,Tommy Wirkola,899112
11092,賽門·金柏格,522016
208113,Sarah Smith,482321
1454692,Jean-Philippe Vine,482321
1039527,Tyler Gillett,646385
66681,Matt Bettinelli-Olpin,646385
11090,Edgar Wright,576845
1415665,Reinaldo Marcus Green,614917
1668008,Olivia Newman,682507
17883,David O. Russell,664469
64141,David Gordon Green,610253
931952,Lee Isaac Chung,615643
1758663,Advait Chandan,601635
68573,Walt Becker,585245
59315,奧莉薇亞·魏爾德,619730
10702,Martin Campbell,818397
64141,David Gordon Green,616820
225009,Pablo Larraín,716612
78160,盧卡·格達戈尼諾,791177
20629,喬治·米勒,556694
52934,尼可拉斯·史托勒,614939
65167,Scott Cooper,516329
578,雷利·史考特,617653
1814510,Tom George,766475
488,史蒂芬·史匹柏,511809
67813,Baltasar Kormákur,760741
893,Tony Scott,744
94815,Louie Psihoyos,836723
1709460,Jessica M. Thompson,830788
39847,Halina Reijn,520023
240,史丹利·庫柏力克,62
201,Michel Gondry,38
66212,Timo Vuorensola,717728
18844,John Madden,661231
18898,Rob Minkoff,366672
173394,Chris Bailey,366672
1535020,Mark Koetsier,366672
240,史丹利·庫柏力克,694
119293,Tarik Saleh,628900
51864,卡茜·萊蒙斯,696157
22686,Maria Schrader,837881
1032,馬丁·史柯西斯,9746
1297488,Allan Ungar,842942
13015,Phillip Noyce,764835
7017,Roger Michell,536396
11181,肯尼斯·布萊納,777270
232002,Peter Hutchings,603661
1211636,James Cullen Bressack,888195
1052055,Randall Okita,825808
1564258,Romuald Boulanger,979924
1190581,Alejandro Hidalgo,836225
38673,查寧·塔圖,626735
1074867,Reid Carolin,626735
71609,Joachim Trier,75233
2613318,Edward Drake,1024546
1211636,James Cullen Bressack,826749
583932,Jared Cohn,718949
240,史丹利·庫柏力克,600
568692,Tim Fehlbaum,760873
2742953,Mark Toia,733317
1279519,Sara Colangelo,649394
2613318,Edward Drake,1035803
20193,Mark Neveldine,628878
582255,Kike Maíllo,655917
240,史丹利·庫柏力克,345
39104,Abel Ferrara,762433
1504645,John Swab,818192
1374429,Wes Miller,864116
12238,David Lean,907
87494,Paul Solet,689700
2880,Emilio Estevez,59468
59231,Joel David Moore,801271
2410737,Sophia Banks,848123
95573,Aron Gaudet,628914
95575,Gita Pullapilly,628914
36588,Joe Wright,730047
77162,Rodrigo García,641960
88084,Luis Prieto,844398
7270,Adrian Lyne,9769
2613318,Edward Drake,916821
2613318,Edward Drake,766907
83858,Simon Barrett,641668
1437193,Lauren Hadaway,821427
2613318,Edward Drake,763164
2880,Emilio Estevez,331986
1480711,Drew Mylrea,789171
60923,Will Speck,830784
60922,Josh Gordon,830784
139558,Josh Sternfeld,883502
9158,Sharon Maguire,634
10491,Paul Verhoeven,10802
1409624,Eddie Arya,850099
510,提姆·波頓,12155
1088096,James Nunn,811592
1332321,Mye Hoang,896689
1178371,Daniel Ferguson,577721
5281,Spike Lee,925
4782087,Qiu Yu,1306218
3342366,Alejandro Loayza Grisi,913820
15254,Emir Kusturica,11902
1311031,Svyatoslav Podgaevsky,575088
1695602,Alexandr Babaev,659384
230445,Vadim Shmelyov,579831
230715,Renat Davletyarov,597859
1992194,Andrey Zagidullin,575072
1204066,Natalya Merkulova,818621
1204065,Alexey Chupov,818621
1491551,Игорь Копылов,818415
562730,Данила Козловский,589761
8452,Андрей Тарковский,1396
8452,Андрей Тарковский,1398
1168608,Taneli Mustonen,477462
87322,Aku Louhimies,655302
1064049,Alli Haapasalo,683363
2020204,Hanna Bergholm,517302
124856,Zaida Bergroth,608232
1044881,Teemu Nikki,716855
1107609,Maria Sadowska,881764
2055172,Maciej Barczewski,845875
10316,Θόδωρος Αγγελόπουλος,24858
68813,Céline Sciamma,531428
1186076,Philippe Lacheau,746333
939337,威爾·沙比,617762
225407,Yann Gozlan,663260
1392433,Julia Ducournau,630240
1017274,Audrey Diwan,793998
108552,Barthélémy Grossmann,955569
32226,Pascal-Alex Vincent,809488
56735,David Moreau,892527
68813,Céline Sciamma,749004
2832609,Alexandre Jollien,757999
41029,Bernard Campan,757999
2830542,Vanya Peirani-Vignes,827887
1422940,Martin Bourboulon,655082
81118,Emmanuel Carrère,601188
67717,Michel Hazanavicius,852438
1366957,Sylvie Ohayon,719463
931581,Mikhaël Hers,895659
79002,Nacho G. Velilla,826218
222686,Mia Hansen-Løve,477044
113855,Xavier Giannoli,660000
4387,François Ozon,735726
1721013,Eric Gravel,833417
1105712,Régis Roinsard,477018
70221,Christian Carion,750253
1366309,Denis Imbert,754067
2664731,Suzanne Lindon,712134
145678,Patrick Ridremont,762079
239637,Jérôme Bonnell,833428
7288,Stéphane Brizé,485162
1650,François Truffaut,147
1175622,Arthur Harari,695089
38883,Arnaud Desplechin,774343
45138,Luc Dardenne,914203
56209,Jean-Pierre Dardenne,914203
3776,Jean-Luc Godard,269
1364039,Antoine Barraud,659988
1035304,Danielle Arbid,526811
