tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
10775,AU,M,[],,,2004-01-01 00:00:00+00:00,3
10775,DE,,[],,Hamburg Fantasy Filmfest,2004-08-12 00:00:00+00:00,1
10775,DE,12,[],,,2004-08-10 00:00:00+00:00,5
10775,DE,,[],,,2004-09-02 00:00:00+00:00,5
10775,FI,K-16,[],,Helsinki International Film Festival,2004-09-20 00:00:00+00:00,1
10775,FR,,[],,Cognac Film Festival,2004-04-10 00:00:00+00:00,1
10775,FR,TP,[],,Visa CNC 108847,2004-09-01 00:00:00+00:00,3
10775,GB,,[],,,2004-02-27 00:00:00+00:00,3
10775,US,,[],,Milwaukee International Film Festival,2004-10-26 00:00:00+00:00,1
10775,US,R,[],,,2004-09-24 00:00:00+00:00,2
11647,DE,16,[],,,2004-11-02 00:00:00+00:00,4
11647,FR,,[],,Cognac Film Festival,2004-04-11 00:00:00+00:00,1
11647,GB,15,[],,,2004-08-06 00:00:00+00:00,3
11647,HU,,[],,,2004-09-23 00:00:00+00:00,3
11647,IE,15,[],,,2004-09-03 00:00:00+00:00,4
11647,JP,R18+,[],,,2004-09-18 00:00:00+00:00,4
11647,NL,12,[],,,2004-11-04 00:00:00+00:00,3
14310,HU,,[],,,2004-09-09 00:00:00+00:00,3
14310,KR,15,[],,,2004-07-02 00:00:00+00:00,3
746,NL,12,[],,DVD,2004-04-23 00:00:00+00:00,5
185,KZ,,[],,,2004-03-18 00:00:00+00:00,3
671,BR,L,[],,SBT,2004-11-25 00:00:00+00:00,6
671,GB,PG,[],en,BBC One,2004-12-25 00:00:00+00:00,6
671,NL,6,[],,SBS 6,2004-12-27 00:00:00+00:00,6
671,SK,12,[],,Markíza,2004-12-04 00:00:00+00:00,6
744,DK,15,[],,DVD,2004-12-31 00:00:00+00:00,5
744,US,PG,[],,Special Collector's Edition DVD,2004-12-14 00:00:00+00:00,5
62,NL,6,[],,DVD,2004-12-14 00:00:00+00:00,5
62,NL,6,[],,Yorin,2004-01-18 00:00:00+00:00,6
38,AT,12,[],,,2004-05-20 00:00:00+00:00,4
38,AU,M,[],,,2004-06-30 00:00:00+00:00,3
38,BR,14,[],,,2004-07-23 00:00:00+00:00,3
38,CH,12,[],,,2004-07-22 00:00:00+00:00,4
38,DE,12,[],,,2004-05-20 00:00:00+00:00,3
38,EE,,[],,,2004-06-25 00:00:00+00:00,3
38,ES,12,[],es,,2004-09-24 00:00:00+00:00,3
38,FI,,[],,,2004-08-13 00:00:00+00:00,3
38,FR,16,[],,,2004-10-06 00:00:00+00:00,3
38,GB,15,[],,,2004-04-30 00:00:00+00:00,3
38,GR,13,[],,,2004-04-23 00:00:00+00:00,3
38,HU,16,[],,,2004-08-19 00:00:00+00:00,4
38,IE,15,[],,,2004-04-30 00:00:00+00:00,3
38,IL,,[],,,2004-07-22 00:00:00+00:00,3
38,IT,,[],,,2004-10-22 00:00:00+00:00,3
38,MX,B-15,[],,,2004-07-23 00:00:00+00:00,2
38,NL,16,[],,,2004-09-16 00:00:00+00:00,3
38,PL,16,[],,,2004-08-13 00:00:00+00:00,4
38,PT,M/16,[],,,2004-05-20 00:00:00+00:00,3
38,RO,15,[],,,2004-03-19 00:00:00+00:00,1
38,RU,R,[],,,2004-04-29 00:00:00+00:00,3
38,US,R,[],,"Los Angeles, California",2004-03-09 00:00:00+00:00,1
38,US,R,[],,,2004-03-19 00:00:00+00:00,3
907,NO,15,[],,70mm Film Festival,2004-08-29 00:00:00+00:00,1
925,NL,16,[],,DVD,2004-06-10 00:00:00+00:00,5
24858,KR,ALL,[],,,2004-11-19 00:00:00+00:00,3
1600,KR,18,[],,Re-release,2004-05-11 00:00:00+00:00,3
147,FR,,[],,restored version,2004-10-20 00:00:00+00:00,3
11298,FR,12,[],,DVD,2004-10-25 00:00:00+00:00,5
4203,NL,6,[],,DVD,2004-08-11 00:00:00+00:00,5
129,BR,,[],,VHS / DVD,2004-02-01 00:00:00+00:00,5
129,CZ,,[],,DVD (remastered),2004-11-19 00:00:00+00:00,5
129,DE,0,[],,Premiere 4,2004-12-04 00:00:00+00:00,6
129,GB,PG,[],,DVD,2004-03-29 00:00:00+00:00,5
129,MX,A,[],,VHS / DVD,2004-01-16 00:00:00+00:00,5
129,NO,9,[],,DVD,2004-01-28 00:00:00+00:00,5
129,SE,7,[],,VHS / DVD,2004-03-03 00:00:00+00:00,5
129,TR,,[],,,2004-06-18 00:00:00+00:00,3
8392,AU,G,[],,,2004-07-08 00:00:00+00:00,3
10515,IT,,[],,DVD premiere,2004-02-11 00:00:00+00:00,5
10515,KR,ALL,[],,,2004-04-30 00:00:00+00:00,3
18148,CZ,12+,[],,Projekt 100,2004-01-15 00:00:00+00:00,2
598,BR,,[],,Re-release,2004-02-06 00:00:00+00:00,3
598,HR,,[],,,2004-02-05 00:00:00+00:00,3
598,LT,,[],,,2004-04-30 00:00:00+00:00,3
598,PL,,[],,,2004-01-09 00:00:00+00:00,3
598,US,R,[],,,2004-02-13 00:00:00+00:00,3
27101,US,,[],,,2004-04-02 00:00:00+00:00,3
670,AT,,[],,,2004-12-03 00:00:00+00:00,3
670,AU,R 18+,[],,,2004-05-20 00:00:00+00:00,3
670,BE,KNT/ENA,[],,,2004-10-11 00:00:00+00:00,3
670,CA,18A,[],,,2004-09-15 00:00:00+00:00,3
670,DE,16,[],,,2004-09-02 00:00:00+00:00,3
670,FI,K-16,[],,,2004-12-10 00:00:00+00:00,3
670,FR,,[],,Cannes Film Festival,2004-05-15 00:00:00+00:00,1
670,FR,16,[],,,2004-09-28 00:00:00+00:00,3
670,GB,18,[],,,2004-10-15 00:00:00+00:00,3
670,GR,,[],,,2004-11-05 00:00:00+00:00,3
670,IE,18,[],,,2004-10-15 00:00:00+00:00,3
670,IL,,[],,,2004-10-06 00:00:00+00:00,3
670,JP,,[],,,2004-11-06 00:00:00+00:00,3
670,NL,16,[],,,2004-11-11 00:00:00+00:00,3
670,SG,R21,[],,,2004-10-14 00:00:00+00:00,3
670,TR,18+ ,[],,,2004-10-15 00:00:00+00:00,3
4689,SE,15,[],,,2004-03-26 00:00:00+00:00,3
42190,JP,R15+,[],,,2004-01-24 00:00:00+00:00,4
11948,NL,16,[],,,2004-10-11 00:00:00+00:00,5
11416,NL,12,[],,DVD,2004-12-01 00:00:00+00:00,5
3635,AT,6,[],,,2004-09-24 00:00:00+00:00,4
3635,BR,12,[],,,2004-02-20 00:00:00+00:00,3
3635,CH,6,[],,,2004-03-12 00:00:00+00:00,4
3635,CZ,12+,[],,,2004-08-05 00:00:00+00:00,3
3635,DE,,[],,Munich International Film Festival,2004-06-25 00:00:00+00:00,1
3635,DE,6,[],,,2004-09-23 00:00:00+00:00,3
3635,DK,,[],,Copenhagen International Film Festival,2004-08-22 00:00:00+00:00,1
3635,DK,,[],,,2004-10-22 00:00:00+00:00,3
3635,ES,7,[],,,2004-02-20 00:00:00+00:00,3
3635,FR,TP,[],,,2004-03-03 00:00:00+00:00,3
3635,GB,12A,[],,,2004-01-16 00:00:00+00:00,3
3635,IE,15,[],,,2004-01-16 00:00:00+00:00,3
3635,IT,T,[],,,2004-02-20 00:00:00+00:00,3
3635,JP,G,[],,,2004-04-10 00:00:00+00:00,4
3635,KR,15,[],,,2004-09-03 00:00:00+00:00,3
3635,PT,,[],,,2004-02-12 00:00:00+00:00,3
3635,US,PG-13,[],,,2004-01-30 00:00:00+00:00,3
71,BR,12,[],,,2004-01-19 00:00:00+00:00,5
28468,FR,,[],,DVD,2004-03-18 00:00:00+00:00,5
176,AU,MA15+,[],,,2004-12-02 00:00:00+00:00,3
176,CA,R,[],,Toronto International Film Festival,2004-09-18 00:00:00+00:00,1
176,CA,18A,[],,,2004-10-29 00:00:00+00:00,3
176,DE,18,[],,Berlin Fantasy Filmfest,2004-08-12 00:00:00+00:00,1
176,FI,K-18,[],,Night Visions Film Festival,2004-10-24 00:00:00+00:00,1
176,FI,K-18,[],,,2004-12-17 00:00:00+00:00,3
176,GB,18,[],,,2004-10-01 00:00:00+00:00,3
176,IE,18,[],,,2004-10-01 00:00:00+00:00,3
176,IS,16,[],,,2004-12-10 00:00:00+00:00,3
176,JP,R-15 ,[],,Tokyo,2004-10-30 00:00:00+00:00,1
176,LT,N-16,[],,,2004-12-30 00:00:00+00:00,3
176,NO,18,[],,,2004-12-26 00:00:00+00:00,3
176,NZ,,[],,V 24 Hour Movie Marathon,2004-10-30 00:00:00+00:00,1
176,NZ,18,[],,,2004-12-16 00:00:00+00:00,3
176,PH,R-13,[],,,2004-11-24 00:00:00+00:00,3
176,RU,18+,[],,,2004-12-16 00:00:00+00:00,3
176,SG,M18 ,[],,,2004-11-18 00:00:00+00:00,3
176,TH,,[],,,2004-11-11 00:00:00+00:00,3
176,TR,18+,[],,,2004-10-29 00:00:00+00:00,3
176,US,,[],,Sundance Film Festival,2004-01-19 00:00:00+00:00,1
176,US,R,[],,,2004-10-29 00:00:00+00:00,3
765,AU,R 18+,[],,DVD,2004-05-03 00:00:00+00:00,5
