tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
185,BR,18,[],,Lançamento 136 m.,1978-09-04 00:00:00+00:00,3
62,DE,,[],,"West Germany, Re-release",1978-04-21 00:00:00+00:00,3
62,FI,K-7,[],,Re-release,1978-05-05 00:00:00+00:00,3
62,FR,,[],fr,Re-release,1978-07-28 00:00:00+00:00,3
62,JP,,[],,Re-release,1978-10-21 00:00:00+00:00,3
907,KR,12,[],,,1978-01-01 00:00:00+00:00,3
1396,DE,12,[],,West Germany,1978-11-13 00:00:00+00:00,6
1396,FI,K-16,[],,,1978-04-21 00:00:00+00:00,3
1396,FR,TP,[],,,1978-01-18 00:00:00+00:00,3
269,JP,,[],,Re-release,1978-07-22 00:00:00+00:00,3
4710,PT,,[],,Porto (Cineclube do Norte),1978-06-25 00:00:00+00:00,2
18148,FR,TP,[],,Visa CNC 48883,1978-02-08 00:00:00+00:00,3
15383,GB,12,[],,,1978-03-23 00:00:00+00:00,3
85927,DE,,[],,,1978-05-06 00:00:00+00:00,6
85927,DK,,[],,,1978-03-17 00:00:00+00:00,3
5879,DE,,[],,,1978-01-27 00:00:00+00:00,3
5558,PT,,[],,Teatro Gil Vicente,1978-12-17 00:00:00+00:00,3
5781,DE,16,[],,,1978-11-16 00:00:00+00:00,3
5781,ES,18,[],es,,1978-03-01 00:00:00+00:00,3
