tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
38368,GR,,[],,,2011-02-04 00:00:00+00:00,3
38368,US,NR,[],,,2011-03-02 00:00:00+00:00,2
10997,FR,,[],,Blu-ray,2011-09-13 00:00:00+00:00,5
64015,FR,,[],,DVD,2011-11-06 00:00:00+00:00,5
10775,SG,,[],,,2011-04-25 00:00:00+00:00,5
10775,US,,[],,,2011-11-15 00:00:00+00:00,5
185,NL,16,[],,Blu ray,2011-01-12 00:00:00+00:00,5
76025,CA,,[],,Toronto International Film Festival,2011-09-11 00:00:00+00:00,1
76025,CA,18A,[],,,2011-12-02 00:00:00+00:00,3
76025,CH,16,[],,,2011-10-02 00:00:00+00:00,4
76025,CN,18,[],,,2011-10-02 00:00:00+00:00,3
76025,ES,,[],,Donostia-San Sebastian International Film Festival,2011-09-17 00:00:00+00:00,1
76025,FR,12,[],,,2011-12-07 00:00:00+00:00,3
76025,GB,,[],,London Film Festival,2011-10-14 00:00:00+00:00,1
76025,IT,,[],,Venice International Film Festival,2011-09-04 00:00:00+00:00,1
76025,SE,15,[],,Stockholm International Film Festival,2011-11-15 00:00:00+00:00,1
76025,US,,[],,New York Film Festival,2011-10-07 00:00:00+00:00,1
76025,US,NC-17,[],,,2011-12-02 00:00:00+00:00,2
671,NL,6,[],,Blu-ray,2011-10-05 00:00:00+00:00,5
744,US,PG,[],,25th Anniversary Blu-ray,2011-08-30 00:00:00+00:00,5
38,NL,16,[],,Blu ray,2011-06-30 00:00:00+00:00,5
75233,BR,,[],,São Paulo International Film Festival,2011-10-21 00:00:00+00:00,1
75233,FR,,[],,Cannes Film Festival,2011-05-18 00:00:00+00:00,1
75233,GB,15,[],no,,2011-11-04 00:00:00+00:00,3
75233,NO,15,[],no,,2011-08-31 00:00:00+00:00,3
907,CA,,[],,Cineplex Classic Film Series,2011-02-16 00:00:00+00:00,1
59468,AU,PG,[],,,2011-11-23 00:00:00+00:00,3
59468,GB,12,[],,,2011-04-15 00:00:00+00:00,3
59468,IE,12,[],,,2011-05-13 00:00:00+00:00,4
59468,US,PG-13,[],,,2011-10-07 00:00:00+00:00,3
147,ES,APTA,[],es,,2011-09-02 00:00:00+00:00,5
4710,BR,,[],,DVD,2011-08-22 00:00:00+00:00,5
10515,GB,PG,[],,BAM Film Festival,2011-04-19 00:00:00+00:00,1
120811,JP,PG12,[],,,2011-12-03 00:00:00+00:00,3
3176,HK,,[],,3D,2011-09-01 00:00:00+00:00,3
77248,DE,12,[],,,2011-01-21 00:00:00+00:00,3
15283,IT,,[],,,2011-02-13 00:00:00+00:00,5
15283,MX,,[],,DVD,2011-01-15 00:00:00+00:00,5
