tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
18311,BR,18,[],,DVD,2006-03-31 00:00:00+00:00,5
38,CZ,,[],,"DVD, FilmX",2006-06-08 00:00:00+00:00,5
38,NL,16,[],,DVD,2006-04-06 00:00:00+00:00,5
600,US,R,[],,Bluray,2006-09-05 00:00:00+00:00,5
1398,IT,T,[],,,2006-06-09 00:00:00+00:00,3
24858,GR,,[],el,DVD,2006-09-19 00:00:00+00:00,5
1600,FR,,[],,DVD,2006-02-22 00:00:00+00:00,5
1600,GR,Κ-15,[],,DVD,2006-12-05 00:00:00+00:00,5
1600,NL,16,[],,DVD,2006-02-23 00:00:00+00:00,5
269,CZ,15+,[],,,2006-01-12 00:00:00+00:00,4
269,NL,6,[],,DVD,2006-01-01 00:00:00+00:00,5
269,US,NR,[],,Harvard Film Archive,2006-01-30 00:00:00+00:00,2
1626,US,,[],,Harvard Film Archive,2006-02-06 00:00:00+00:00,2
4710,US,,[],,Los Angeles Film Festival,2006-06-01 00:00:00+00:00,1
4710,US,,[],,Harvard Film Archive,2006-02-13 00:00:00+00:00,2
4203,GR,,[],,DVD,2006-11-21 00:00:00+00:00,5
30020,NL,6,[],,Nederland 3,2006-02-25 00:00:00+00:00,6
8392,FR,,[],,,2006-07-26 00:00:00+00:00,5
10515,AT,8,[],,,2006-06-09 00:00:00+00:00,4
10515,DE,6,[],,,2006-06-09 00:00:00+00:00,3
15080,AU,PG,[],,DVD,2006-09-01 00:00:00+00:00,5
15080,IE,PG,[],,DVD,2006-09-04 00:00:00+00:00,5
15080,KR,ALL,[],,,2006-06-08 00:00:00+00:00,3
15283,CH,16,[],,,2006-02-12 00:00:00+00:00,4
15283,FR,TP,[],fr,,2006-01-18 00:00:00+00:00,5
15283,GB,PG,[],,DVD,2006-01-30 00:00:00+00:00,5
15283,IE,PG,[],,DVD,2006-01-30 00:00:00+00:00,5
15283,NL,,[],,Film by the Sea Fillm Festival,2006-09-16 00:00:00+00:00,1
15283,NL,6,[],,DVD,2006-11-28 00:00:00+00:00,5
16198,GB,PG,[],,DVD,2006-04-10 00:00:00+00:00,5
112903,JP,,[],,,2006-01-14 00:00:00+00:00,3
146126,CZ,,[],,Filmasia Film Festival,2006-12-02 00:00:00+00:00,1
146126,TW,,[],,,2006-03-24 00:00:00+00:00,3
27101,CZ,,[],,Filmasia Film Festival,2006-12-01 00:00:00+00:00,1
4550,AU,MA15+,[],,Melbourne International Film Festival,2006-08-03 00:00:00+00:00,2
4550,GB,18,[],,,2006-02-10 00:00:00+00:00,3
4550,IE,18,[],,,2006-02-10 00:00:00+00:00,3
4550,IT,,[],,,2006-01-05 00:00:00+00:00,3
4550,NL,16,[],,DVD,2006-11-14 00:00:00+00:00,5
582,CA,14A,[],,,2006-09-06 00:00:00+00:00,3
582,CH,16,[],,,2006-08-06 00:00:00+00:00,4
582,DE,,[],,Kinopremiere für den Deutschen Bundestag,2006-03-14 00:00:00+00:00,1
582,DE,12,[],,,2006-03-23 00:00:00+00:00,3
582,DK,11,[],,,2006-10-13 00:00:00+00:00,3
582,GR,16,[],,,2006-12-14 00:00:00+00:00,3
582,NL,12,[],,,2006-04-07 00:00:00+00:00,3
582,US,R,[],,,2006-06-06 00:00:00+00:00,3
4348,BR,L,[],,UIP,2006-02-10 00:00:00+00:00,3
4348,BR,L,[],,DVD/VHS United,2006-06-13 00:00:00+00:00,5
4348,CZ,15+,[],,,2006-01-26 00:00:00+00:00,4
4348,DK,A,[],,,2006-01-06 00:00:00+00:00,3
4348,ES,APTA,[],es,,2006-02-10 00:00:00+00:00,3
4348,FR,TP,[],fr,,2006-01-18 00:00:00+00:00,3
4348,HK,,[],,,2006-01-27 00:00:00+00:00,3
4348,HU,16,[],,,2006-02-02 00:00:00+00:00,4
4348,IT,,[],,,2006-02-03 00:00:00+00:00,3
4348,JP,PG12,[],,,2006-01-14 00:00:00+00:00,4
4348,KR,12,[],,,2006-03-24 00:00:00+00:00,3
4348,NO,A,[],,,2006-01-13 00:00:00+00:00,3
4348,PL,16,[],,,2006-01-13 00:00:00+00:00,4
4348,PT,M/12,[],,,2006-01-19 00:00:00+00:00,3
4348,RO,15,[],,,2006-02-03 00:00:00+00:00,4
4348,SE,11,[],,,2006-04-01 00:00:00+00:00,3
935,BR,10,[],,DVD/VHS,2006-03-13 00:00:00+00:00,5
