tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
18311,HK,,[],,,1990-12-15 00:00:00+00:00,3
18311,KR,15,[],,,1990-12-22 00:00:00+00:00,3
18311,TW,,[],,,1990-12-22 00:00:00+00:00,3
255856,KR,15,[],,,1990-11-03 00:00:00+00:00,3
694,PL,18,[],,,1990-12-31 00:00:00+00:00,3
925,JP,R18+,[],,,1990-04-21 00:00:00+00:00,3
4710,TR,,[],,Istanbul Film Festival,1990-04-10 00:00:00+00:00,1
47795,NL,,[],,,1990-08-31 00:00:00+00:00,3
4203,GB,15,[],es,,1990-07-25 00:00:00+00:00,5
4043,JP,R15+,[],,,1990-05-01 00:00:00+00:00,3
49964,FR,U,[],,,1990-03-21 00:00:00+00:00,3
8392,ES,,[],,Sitges Film Festival,1990-10-14 00:00:00+00:00,1
316569,TW,,[],zh,,1990-01-01 00:00:00+00:00,3
581,AR,,[],,,1990-11-29 00:00:00+00:00,3
581,CA,PG,[],,,1990-11-09 00:00:00+00:00,3
581,IE,15,[],,,1990-03-30 00:00:00+00:00,3
581,IT,T,[],,,1990-12-14 00:00:00+00:00,3
581,US,PG-13,[],,"Washington, D.C.",1990-10-19 00:00:00+00:00,1
581,US,PG-13,[],,,1990-11-09 00:00:00+00:00,2
581,US,PG-13,[],,,1990-11-21 00:00:00+00:00,3
5544,SU,,[],,Retrospective of the producer Anatole Dauman (Moscow),1990-02-21 00:00:00+00:00,2
149,AU,M,[],,,1990-10-16 00:00:00+00:00,3
16859,HK,,[],,,1990-01-20 00:00:00+00:00,3
5879,SU,,[],,Retrospective of producer Anatole Dauman (Moscow),1990-03-02 00:00:00+00:00,2
83183,JP,,[],,,1990-06-02 00:00:00+00:00,3
49982,DE,,[],,Berlin International Film Festival,1990-02-11 00:00:00+00:00,1
49982,FR,,[],,,1990-11-28 00:00:00+00:00,3
49982,JP,,[],,,1990-04-21 00:00:00+00:00,3
49982,KR,12,[],,,1990-01-26 00:00:00+00:00,3
49982,NL,,[],,,1990-02-02 00:00:00+00:00,3
49982,SE,,[],,,1990-12-26 00:00:00+00:00,3
3427,JP,,[],,,1990-10-15 00:00:00+00:00,5
