tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
185,MX,C ,[],,,1974-01-22 00:00:00+00:00,3
185,PT,M/18,[],en,,1974-11-29 00:00:00+00:00,3
62,ES,,[],,Re-release,1974-08-26 00:00:00+00:00,3
62,IT,,[],,Re-release,1974-03-05 00:00:00+00:00,3
62,PL,AL,[],,,1974-01-01 00:00:00+00:00,3
62,US,,[],,Re-release,1974-01-01 00:00:00+00:00,3
4710,PT,,[],,Porto (Cineclube do Porto),1974-02-17 00:00:00+00:00,2
935,PT,M/12,[],,,1974-07-25 00:00:00+00:00,3
42454,FR,,[],,,1974-10-23 00:00:00+00:00,3
42454,US,,[],,,1974-11-11 00:00:00+00:00,3
3427,FI,,[],,,1974-02-01 00:00:00+00:00,3
5558,FR,TP,[],,Visa CNC 42404,1974-09-10 00:00:00+00:00,3
5558,US,,[],,,1974-10-26 00:00:00+00:00,3
