tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
185,GR,K-17 ,[],,,1973-01-01 00:00:00+00:00,3
185,NO,18,[],,Oslo,1973-04-12 00:00:00+00:00,2
185,UY,,[],,,1973-04-25 00:00:00+00:00,3
62,TR,,[],,,1973-11-19 00:00:00+00:00,3
1628,PL,18,[],,,1973-12-01 00:00:00+00:00,3
4710,PT,,[],,,1973-05-17 00:00:00+00:00,3
1629,AR,+13,[],,,1973-01-04 00:00:00+00:00,3
438210,TW,,[],zh,,1973-06-30 00:00:00+00:00,3
4593,IE,15,[],,,1973-08-03 00:00:00+00:00,3
3427,DK,,[],,,1973-05-01 00:00:00+00:00,3
3427,SE,,[],,,1973-04-28 00:00:00+00:00,3
