tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
11104,AU,M,[],,,1995-12-26 00:00:00+00:00,3
11104,FI,K-12,[],,,1995-12-08 00:00:00+00:00,3
11104,FR,U,[],,,1995-03-22 00:00:00+00:00,3
11104,JP,,[],,,1995-07-15 00:00:00+00:00,3
11104,KR,15,[],,,1995-09-02 00:00:00+00:00,3
11104,NL,16,[],,,1995-10-05 00:00:00+00:00,3
11220,CA,,[],,Toronto International Film Festival,1995-09-14 00:00:00+00:00,1
11220,HK,IIA,[],,,1995-09-06 00:00:00+00:00,3
11220,KR,15,[],,,1995-12-23 00:00:00+00:00,3
2742,GB,,[],,,1995-06-27 00:00:00+00:00,6
600,TR,,[],,,1995-10-06 00:00:00+00:00,3
10802,AU,R18+,[],,,1995-10-12 00:00:00+00:00,3
10802,BE,16,[],,,1995-09-22 00:00:00+00:00,2
10802,CA,R,[],,,1995-09-22 00:00:00+00:00,3
10802,IT,VM14,[],it,,1995-10-26 00:00:00+00:00,3
10802,JP,,[],,,1995-12-16 00:00:00+00:00,3
10802,KR,18,[],,,1995-11-18 00:00:00+00:00,3
10802,US,NC-17,[],,Academy Theater,1995-09-21 00:00:00+00:00,1
10802,US,NC-17,[],,,1995-09-22 00:00:00+00:00,3
11902,DE,16,[],,,1995-11-23 00:00:00+00:00,3
11902,FR,,[],,,1995-05-13 00:00:00+00:00,3
11902,IT,,[],it,,1995-12-22 00:00:00+00:00,3
11902,NL,16,[],,,1995-12-21 00:00:00+00:00,3
11902,US,,[],,,1995-10-25 00:00:00+00:00,2
110,FR,,[],,VHS,1995-09-05 00:00:00+00:00,5
109,FR,,[],,VHS,1995-04-01 00:00:00+00:00,5
10452,ES,,[],,,1995-02-03 00:00:00+00:00,3
10452,GB,18,[],,,1995-01-13 00:00:00+00:00,3
10452,JP,,[],,,1995-02-11 00:00:00+00:00,3
10452,NL,16,[],,,1995-06-15 00:00:00+00:00,3
47104,FR,,[],,,1995-01-25 00:00:00+00:00,3
47104,NL,,[],,,1995-03-16 00:00:00+00:00,3
8392,BR,L,[],,,1995-03-08 00:00:00+00:00,3
15283,US,G,[],en,Re-release,1995-12-25 00:00:00+00:00,3
11010,CZ,U,[],,,1995-10-12 00:00:00+00:00,3
11010,FR,U,[],,,1995-10-28 00:00:00+00:00,3
11010,GR,,[],,,1995-09-11 00:00:00+00:00,3
11010,NL,6,[],,,1995-10-26 00:00:00+00:00,3
11010,PT,M/12,[],,,1995-10-13 00:00:00+00:00,3
11010,US,PG,[],,,1995-06-14 00:00:00+00:00,3
10435,UY,,[],,,1995-01-01 00:00:00+00:00,3
5879,FR,,[],,ARTE,1995-02-20 00:00:00+00:00,6
37797,BR,L,[],,,1995-07-15 00:00:00+00:00,5
37797,JP,,[],,,1995-07-15 00:00:00+00:00,3
37797,US,G,[],,,1995-12-13 00:00:00+00:00,3
18872,JP,,[],,,1995-12-09 00:00:00+00:00,3
18872,US,,[],,,1995-10-01 00:00:00+00:00,3
571,US,PG-13,[],en,MCA/Universal Home Video #55010 [VHS] 119 minutes,1995-01-01 00:00:00+00:00,5
76,AR,+13,[],,,1995-04-13 00:00:00+00:00,3
76,AU,M,[],,,1995-05-18 00:00:00+00:00,3
76,BR,12,[],,,1995-07-27 00:00:00+00:00,3
76,CH,6,[],,,1995-03-31 00:00:00+00:00,3
76,CL,,[],,,1995-08-01 00:00:00+00:00,3
76,DE,,[],,Berlin International Film Festival,1995-02-14 00:00:00+00:00,1
76,DE,6,[],,,1995-03-30 00:00:00+00:00,3
76,DK,A,[],,,1995-04-28 00:00:00+00:00,3
76,ES,A,[],,ICAA 33795,1995-05-03 00:00:00+00:00,3
76,FI,S,[],,,1995-07-14 00:00:00+00:00,3
76,FR,TP,[],,,1995-03-29 00:00:00+00:00,3
76,GB,15,[],,,1995-04-20 00:00:00+00:00,3
76,HU,12,[],,,1995-05-18 00:00:00+00:00,3
76,IE,15,[],,,1995-05-05 00:00:00+00:00,3
76,IT,T,[],,,1995-04-14 00:00:00+00:00,3
76,JP,G,[],,,1995-09-02 00:00:00+00:00,3
76,PL,18,[],,,1995-07-14 00:00:00+00:00,3
76,PT,M/12,[],,,1995-05-12 00:00:00+00:00,3
76,SE,Btl,[],,,1995-03-31 00:00:00+00:00,3
76,TR,13+,[],,,1995-05-19 00:00:00+00:00,3
76,US,,[],,Sundance Film Festival,1995-01-19 00:00:00+00:00,1
76,US,R,[],,,1995-01-27 00:00:00+00:00,3
76,US,R,[],,VHS,1995-07-18 00:00:00+00:00,5
12652,FR,,[],,,1995-10-18 00:00:00+00:00,1
12652,FR,U,[],,,1995-08-23 00:00:00+00:00,3
649,US,R,[],,Re-release,1995-06-28 00:00:00+00:00,2
47002,CA,,[],,Toronto International Film Festival,1995-09-07 00:00:00+00:00,1
47002,JP,,[],,,1995-03-25 00:00:00+00:00,3
11621,FI,K-7,[],,TV1,1995-09-16 00:00:00+00:00,6
11621,FR,TP,[],,,1995-02-01 00:00:00+00:00,3
