tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
1628,BE,18,[],,,1962-01-23 00:00:00+00:00,3
1628,FR,TP,[],,,1962-01-23 00:00:00+00:00,3
1628,RO,18+,[],,,1962-01-23 00:00:00+00:00,3
1628,SE,15,[],,,1962-01-23 00:00:00+00:00,3
1628,US,NR,[],,,1962-04-23 00:00:00+00:00,3
1626,DE,18,[],,West Germany,1962-10-02 00:00:00+00:00,3
1626,FR,TP,[],,,1962-09-20 00:00:00+00:00,3
1626,GB,,[],,,1962-10-29 00:00:00+00:00,3
1626,IT,,[],,Venice Film Festival,1962-08-28 00:00:00+00:00,1
1626,SE,15,[],,,1962-09-20 00:00:00+00:00,3
131836,SU,,[],,,1962-10-08 00:00:00+00:00,3
29264,BR,14,[],pt,,1962-12-16 00:00:00+00:00,3
29264,CH,16,[],,,1962-07-29 00:00:00+00:00,3
29264,FR,,[],,Cannes Film Festival,1962-05-16 00:00:00+00:00,3
29264,RO,15,[],,,1962-05-16 00:00:00+00:00,3
