tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
269,PT,,[],,,1970-04-23 00:00:00+00:00,3
15383,IT,,[],,,1970-10-06 00:00:00+00:00,3
15383,JP,,[],,,1970-05-30 00:00:00+00:00,3
15383,NL,,[],,,1970-11-12 00:00:00+00:00,3
15383,US,NR,[],,,1970-06-19 00:00:00+00:00,3
1629,NL,18,[],,,1970-03-26 00:00:00+00:00,3
3423,BE,,[],,,1970-06-19 00:00:00+00:00,3
3423,BR,14,[],,,1970-12-31 00:00:00+00:00,3
3423,CH,16,[],,,1970-03-13 00:00:00+00:00,3
3423,DE,16,[],,,1970-09-17 00:00:00+00:00,3
3423,ES,,[],,,1970-10-06 00:00:00+00:00,3
3423,FR,U,[],,,1970-03-13 00:00:00+00:00,3
3423,IT,,[],,,1970-04-18 00:00:00+00:00,3
3423,NL,,[],,,1970-04-21 00:00:00+00:00,3
3423,PT,M/14,[],,,1970-12-31 00:00:00+00:00,3
3423,SE,15,[],,,1970-09-18 00:00:00+00:00,3
3423,US,,[],,,1970-08-31 00:00:00+00:00,3
649,PL,18,[],,,1970-12-01 00:00:00+00:00,3
