tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
11471,NL,16,[],,DVD,2007-03-22 00:00:00+00:00,5
14310,DE,16,[],,,2007-09-27 00:00:00+00:00,3
671,SE,11,[],,Blu-ray,2007-11-28 00:00:00+00:00,5
62,FR,,[],,Blu-Ray,2007-12-12 00:00:00+00:00,5
62,NL,6,[],,Blu ray,2007-11-18 00:00:00+00:00,5
62,SE,15,[],,Blu-ray release,2007-12-21 00:00:00+00:00,5
38,NL,16,[],,Nederland 2,2007-07-20 00:00:00+00:00,6
9746,CZ,,[],,"DVD, FilmX",2007-09-06 00:00:00+00:00,5
600,ID,,[],,Blu-ray,2007-10-23 00:00:00+00:00,5
600,NL,16,[],,DVD,2007-02-21 00:00:00+00:00,5
600,NL,16,[],,Blu ray,2007-11-14 00:00:00+00:00,5
600,SE,15,[],,Blu-ray,2007-05-02 00:00:00+00:00,5
345,NL,16,[],,Blu ray,2007-11-14 00:00:00+00:00,5
269,NL,6,[],,Nederland 2,2007-12-08 00:00:00+00:00,6
8072,NL,12,[],,DVD,2007-09-13 00:00:00+00:00,5
49964,FR,U,[],,DVD,2007-10-25 00:00:00+00:00,5
49964,NL,AL,[],,Nederland 2,2007-08-05 00:00:00+00:00,6
30020,FR,U,[],,DVD,2007-03-07 00:00:00+00:00,5
47104,FR,,[],,DVD,2007-03-07 00:00:00+00:00,5
83761,FR,,[],,DVD,2007-10-25 00:00:00+00:00,5
129,DK,7,[],,,2007-01-01 00:00:00+00:00,3
8392,DE,0,[],,,2007-09-17 00:00:00+00:00,5
8392,SE,Btl,[],,,2007-03-30 00:00:00+00:00,3
8392,SE,Btl,[],,DVD,2007-10-24 00:00:00+00:00,5
3176,HU,,[],,,2007-02-27 00:00:00+00:00,3
15080,CH,12,[],,,2007-10-26 00:00:00+00:00,4
15080,FR,U,[],,,2007-10-31 00:00:00+00:00,5
15080,HU,12,[],,,2007-12-14 00:00:00+00:00,4
15080,PL,12,[],,,2007-09-15 00:00:00+00:00,4
15283,DE,6,[],,DVD,2007-06-11 00:00:00+00:00,5
15283,PL,16,[],,DVD,2007-10-17 00:00:00+00:00,5
16198,HU,12,[],,DVD,2007-12-18 00:00:00+00:00,5
598,IN,A,[],,,2007-01-18 00:00:00+00:00,3
51550,JP,,[],,,2007-09-08 00:00:00+00:00,3
4550,DE,16,[],,,2007-03-23 00:00:00+00:00,3
4550,ES,18,[],,ICAA 119207,2007-08-10 00:00:00+00:00,3
4550,US,R,[],ko,Place holder for Digital Release Date,2007-01-01 00:00:00+00:00,4
4689,BR,14,[],,DVD premiere,2007-10-10 00:00:00+00:00,5
582,AU,MA15+,[],,,2007-01-30 00:00:00+00:00,3
582,BR,12,[],,,2007-11-30 00:00:00+00:00,3
582,ES,7,[],,ICAA 149806,2007-02-15 00:00:00+00:00,3
582,FR,TP,[],,,2007-01-31 00:00:00+00:00,3
582,GB,15,[],,,2007-03-22 00:00:00+00:00,3
