tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
147,BE,AL,[],,,1959-06-03 00:00:00+00:00,2
147,DE,,[],de,,1959-10-20 00:00:00+00:00,3
147,DK,15,[],,,1959-06-03 00:00:00+00:00,3
147,FI,K-16,[],,,1959-06-03 00:00:00+00:00,3
147,FR,,[],,Cannes Film Festival,1959-05-04 00:00:00+00:00,1
147,FR,TP,[],,,1959-06-03 00:00:00+00:00,3
147,IT,,[],it,,1959-09-26 00:00:00+00:00,3
147,SE,15,[],,,1959-06-03 00:00:00+00:00,2
147,US,NR,[],,,1959-11-16 00:00:00+00:00,3
5544,FR,,[],,Cannes Film Festival,1959-05-08 00:00:00+00:00,1
5544,FR,,[],,,1959-06-10 00:00:00+00:00,3
5544,JP,G,[],,,1959-06-10 00:00:00+00:00,3
5544,US,NR,[],,,1959-06-10 00:00:00+00:00,3
