tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
907,JP,,[],,Re-release,1976-11-13 00:00:00+00:00,3
4710,PT,,[],,Porto (Cineclube do Porto),1976-03-09 00:00:00+00:00,2
85927,CA,,[],,Toronto Film Festival,1976-10-18 00:00:00+00:00,1
85927,NL,,[],,Amsterdam,1976-12-16 00:00:00+00:00,2
5879,FR,,[],,Cannes Film Festival,1976-05-15 00:00:00+00:00,1
5879,FR,16,[],,Visa CNC 45554,1976-09-15 00:00:00+00:00,3
5879,JP,R18+,[],,,1976-10-16 00:00:00+00:00,3
5879,SE,15,[],,,1976-10-08 00:00:00+00:00,3
42726,FI,,[],,re-release,1976-02-13 00:00:00+00:00,3
