tmdb_id,country,certification,descriptors,iso_639_1,note,release_date,type
185,AU,R 18+,[],,,1972-02-10 00:00:00+00:00,3
185,BE,18,[],en,Gent,1972-09-15 00:00:00+00:00,2
185,DE,16,[],,,1972-03-22 00:00:00+00:00,3
185,DK,15,[],,,1972-04-21 00:00:00+00:00,3
185,FI,K-18,[],,,1972-10-27 00:00:00+00:00,3
185,FR,18,[],,,1972-04-21 00:00:00+00:00,3
185,GB,18,[],,Originally rated X,1972-01-11 00:00:00+00:00,3
185,IE,18,[],,,1972-01-11 00:00:00+00:00,3
185,IT,,[],,Venice Film Festival,1972-08-23 00:00:00+00:00,1
185,IT,VM 18,[],,,1972-09-07 00:00:00+00:00,3
185,JP,R15+,[],,,1972-04-29 00:00:00+00:00,3
185,NL,18,[],,,1972-04-20 00:00:00+00:00,3
185,PE,,[],,,1972-08-24 00:00:00+00:00,3
185,SE,15,[],,,1972-04-25 00:00:00+00:00,3
185,US,R,[],,Originally rated X,1972-02-02 00:00:00+00:00,3
62,IS,,[],,,1972-10-14 00:00:00+00:00,3
907,IE,,[],,Re-release,1972-05-26 00:00:00+00:00,3
18148,US,,[],,,1972-03-13 00:00:00+00:00,3
4593,FR,TP,[],,Visa CNC 39910,1972-09-15 00:00:00+00:00,3
4593,US,PG,[],,,1972-09-15 00:00:00+00:00,2
3427,DE,,[],,East Germany,1972-08-11 00:00:00+00:00,3
3427,HU,,[],,,1972-03-16 00:00:00+00:00,3
3427,PL,,[],,,1972-10-01 00:00:00+00:00,3
3427,TR,,[],,,1972-01-03 00:00:00+00:00,3
