,Year,MovieId,Name,tmdb_id,tmdb_tw_name
277,2022,20240,驚聲尖叫,646385.0,驚聲尖叫
278,2022,19964,迷離夜蘇活,576845.0,迷離夜蘇活
279,2022,19786,王者理查,614917.0,王者理查
280,2022,21867,沼澤謀殺案,682507.0,沼澤謀殺案
281,2022,22530,阿姆斯特丹,664469.0,阿姆斯特丹
284,2022,20137,阿達一族2,639721.0,阿達一族2
286,2022,19919,大紅狗克里弗,585245.0,大紅狗克里弗
287,2022,22245,別擔心親愛的,619730.0,別擔心親愛的
289,2022,22652,月光光新慌慌：萬聖結,616820.0,月光光新慌慌：萬聖結
290,2022,19783,史賓賽,716612.0,史賓賽
291,2022,23144,鞋貓劍客2,315162.0,鞋貓劍客2
292,2022,22924,骨肉的總和,791177.0,骨肉的總和
293,2022,22115,三千年的渴望,556694.0,三千年的渴望
294,2022,22476,哥兒們,614939.0,哥兒們
296,2022,19539,最後的決鬥,617653.0,最後的決鬥
297,2022,22242,看你往哪跑,766475.0,看你往哪跑
298,2022,20362,西城故事,511809.0,西城故事
299,2022,21942,獸,760741.0,獸
303,2022,22116,世紀婚魘,830788.0,世紀婚魘
304,2022,21930,天黑請斃命,520023.0,天黑請斃命
311,2022,20770,救命緝約,628900.0,救命緝約
312,2022,23321,與你共舞,696157.0,與你共舞
314,2022,23084,她有話要說,837881.0,她有話要說
315,2022,19659,達賴的一生,9746.0,達賴的一生
316,2022,22651,天劫高手,842942.0,天劫高手
317,2022,20659,絕命通話,764835.0,絕命通話
323,2022,22963,絕命線阱,979924.0,絕命線阱
327,2022,23128,俠探特攻：全面追緝,1024546.0,俠探特攻：全面追緝
328,2022,20554,終極堡壘,826749.0,終極堡壘
331,2022,19690,地球重生,760873.0,地球重生
334,2022,23286,俠探特攻：贖罪行動,1035803.0,俠探特攻：贖罪行動
338,2022,21388,午後彌撒,423333.0,午後彌撒
341,2022,20861,終極交戰,864116.0,終極交戰
346,2022,21802,殺戮基地,848123.0,殺戮基地
356,2022,21180,進擊的地才,821427.0,進擊的地才
359,2022,20992,公共圖書館員,331986.0,公共圖書館員
361,2022,21172,最後的生存者,789171.0,最後的生存者
362,2022,23014,鱷魚歌王,830784.0,鱷魚歌王
363,2022,22714,終極堡壘2,883502.0,終極堡壘2
369,2022,22959,貓爸爸們,896689.0,貓爸爸們
383,2022,23217,高原上的家屋,913820.0,高原上的家屋
388,2022,21173,逃出封鎖線,597859.0,逃出封鎖線
390,2022,22404,大尉叛逃記,818621.0,大尉叛逃記
391,2022,22524,獵空計畫,818415.0,獵空計畫
395,2022,21155,月影歸途,722392.0,月影歸途
398,2022,21380,當女孩戀愛時,683363.0,當女孩戀愛時
400,2022,21706,朵貝的愛情繪本,608232.0,朵貝的愛情繪本
401,2022,21536,不看鐵達尼號的男人,716855.0,不看鐵達尼號的男人
408,2022,21920,蝙狐俠：英雄覺醒,746333.0,蝙狐俠：英雄覺醒
409,2022,19696,天才貓奴畫家,617762.0,天才貓奴畫家
410,2022,20184,黑盒線索,663260.0,黑盒線索
412,2022,21995,正發生,793998.0,正發生
418,2022,22243,小獅子王,892527.0,小獅子王
419,2022,20943,親愛的童伴,749004.0,親愛的童伴
421,2022,22183,拆彈倒數30分鐘,827887.0,拆彈倒數30分鐘
426,2022,21514,一屍到底：法屍浪漫,852438.0,一屍到底：法屍浪漫
428,2022,21863,就在今夜,895659.0,就在今夜
