adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id
False,2,2648776,Directing,Lee Moon-young,Lee Moon-young,0.001,,60c8269dca8354002995106d,Directing,Director,840528
False,2,150975,Directing,홍상수,홍상수,9.058,/cjZT9zhN5Yl65vTYAoyxCE02rm4.jpg,60250aeb8b959e7de61df1d4,Directing,Director,795797
False,0,3312260,Directing,이상헌,이상헌,0.001,,619400dfc8f858008eb7a36b,Directing,Director,817480
False,2,1066215,Directing,김종관,김종관,1.494,/jpxdWdNMV5EnNHEEeIxSwj2u7Ic.jpg,5c93573c0e0a261048e85456,Directing,Director,589713
False,2,150975,Directing,홍상수,홍상수,9.058,/cjZT9zhN5Yl65vTYAoyxCE02rm4.jpg,607dab17a1d332005772b98f,Directing,Director,820517
False,2,150975,Directing,홍상수,홍상수,9.058,/cjZT9zhN5Yl65vTYAoyxCE02rm4.jpg,61e7eb84bc865700953a82ab,Directing,Director,928713
False,1,2441844,Directing,Lee Ran-hee,Lee Ran-hee,0.742,,5f6219d05a78840034abf1ae,Directing,Director,743475
False,2,1455815,Directing,Kane Senes,Kane Senes,1.442,,61fd2a8dce997a004460ee59,Directing,Director,934207
False,1,2101968,Directing,Hannah Barlow,Hannah Barlow,0.99,/pR5qbEmdRZL5moQxiHv9VH023qS.jpg,61fb6dffb6abc4001ccdb002,Directing,Director,934207
False,1,96449,Directing,Clara Law,Clara Law,1.999,/fYgzOOYXq1dvMXQUuiyKaIyFwzh.jpg,61764d7271f09500290ddf75,Directing,Director,889507
False,2,285104,Directing,Nabil Ayouch,Nabil Ayouch,1.448,/n7t19GtMJVErQ4SaSKaptVRhPnH.jpg,5c401cb09251416e2db01c7d,Directing,Director,575764
False,0,1779883,Crew,Noel Cleary,Noel Cleary,0.42,,5e638b143e01ea0013ea06b4,Directing,Director,681260
False,2,1304466,Directing,Alexs Stadermann,Alexs Stadermann,2.2800000000000002,/2Mh2pn5AZQjiU6tfJ6VpPDW7V9W.jpg,5e638cd7357c00001135b2d0,Directing,Director,681260
False,1,2240093,Directing,Lok Kwan Woo,Lok Kwan Woo,0.26,,61fd867c2f1be0001cf5effb,Directing,Director,934957
