MovieId,Publisher_name,PublisherId
23586,RELAY MOTION KFT.,587
21736,RELAY MOTION KFT.,587
21615,RELAY MOTION KFT.,587
21222,RELAY MOTION KFT.,587
21858,RELAY MOTION KFT.,587
22473,RELAY MOTION KFT.,587
21763,RELAY MOTION KFT.,587
20398,RELAY MOTION KFT.,587
22925,RELAY MOTION KFT.,587
23015,RELAY MOTION KFT.,587
24733,RELAY MOTION KFT.,587
26441,RELAY MOTION KFT.,587
22004,RELAY MOTION KFT.,587
24551,RELAY MOTION KFT.,587
23721,RELAY MOTION KFT.,587
23248,RELAY MOTION KFT.,587
24351,RELAY MOTION KFT.,587
25535,RELAY MOTION KFT.,587
25592,RELAY MOTION KFT.,587
24312,RELAY MOTION KFT.,587
24492,RELAY MOTION KFT.,587
23645,RELAY MOTION KFT.,587
25318,RELAY MOTION KFT.,587
25361,RELAY MOTION KFT.,587
8074,RELAY MOTION KFT.,587
26496,RELAY MOTION KFT.,587
16076,RELAY MOTION KFT.,587
25212,RELAY MOTION KFT.,587
23507,RELAY MOTION KFT.,587
23547,RELAY MOTION KFT.,587
25829,RELAY MOTION KFT.,587
23289,RELAY MOTION KFT.,587
25311,RELAY MOTION KFT.,587
26405,RELAY MOTION KFT.,587
19852,RELAY MOTION KFT.,587
18774,RELAY MOTION KFT.,587
21237,RELAY MOTION KFT.,587
20762,RELAY MOTION KFT.,587
21065,RELAY MOTION KFT.,587
22230,RELAY MOTION KFT.,587
23286,RELAY MOTION KFT.,587
20211,RELAY MOTION KFT.,587
20861,RELAY MOTION KFT.,587
21973,RELAY MOTION KFT.,587
23148,RELAY MOTION KFT.,587
20561,RELAY MOTION KFT.,587
21838,RELAY MOTION KFT.,587
21802,RELAY MOTION KFT.,587
23338,RELAY MOTION KFT.,587
20963,RELAY MOTION KFT.,587
21862,RELAY MOTION KFT.,587
19952,RELAY MOTION KFT.,587
21514,RELAY MOTION KFT.,587
20530,RELAY MOTION KFT.,587
20736,RELAY MOTION KFT.,587
20568,RELAY MOTION KFT.,587
20692,RELAY MOTION KFT.,587
20192,RELAY MOTION KFT.,587
19318,RELAY MOTION KFT.,587
22714,RELAY MOTION KFT.,587
19921,RELAY MOTION KFT.,587
20217,RELAY MOTION KFT.,587
20560,RELAY MOTION KFT.,587
20715,RELAY MOTION KFT.,587
22005,RELAY MOTION KFT.,587
20472,RELAY MOTION KFT.,587
21589,RELAY MOTION KFT.,587
23615,RELAY MOTION KFT.,587
26045,RELAY MOTION KFT.,587
25160,RELAY MOTION KFT.,587
24714,RELAY MOTION KFT.,587
26037,RELAY MOTION KFT.,587
25092,RELAY MOTION KFT.,587
24516,RELAY MOTION KFT.,587
20809,RELAY MOTION KFT.,587
21389,RELAY MOTION KFT.,587
22260,RELAY MOTION KFT.,587
21869,RELAY MOTION KFT.,587
22337,RELAY MOTION KFT.,587
20294,RELAY MOTION KFT.,587
19783,RELAY MOTION KFT.,587
24106,RELAY MOTION KFT.,587
22397,RELAY MOTION KFT.,587
22308,RELAY MOTION KFT.,587
22679,RELAY MOTION KFT.,587
21033,RELAY MOTION KFT.,587
23218,RELAY MOTION KFT.,587
23186,RELAY MOTION KFT.,587
22902,RELAY MOTION KFT.,587
18812,RELAY MOTION KFT.,587
21393,RELAY MOTION KFT.,587
20125,RELAY MOTION KFT.,587
23128,RELAY MOTION KFT.,587
22474,RELAY MOTION KFT.,587
22801,RELAY MOTION KFT.,587
20554,RELAY MOTION KFT.,587
21707,RELAY MOTION KFT.,587
20356,RELAY MOTION KFT.,587
23147,RELAY MOTION KFT.,587
20930,RELAY MOTION KFT.,587
25188,RELAY MOTION KFT.,587
24286,RELAY MOTION KFT.,587
24090,RELAY MOTION KFT.,587
25178,RELAY MOTION KFT.,587
25933,RELAY MOTION KFT.,587
23713,RELAY MOTION KFT.,587
23711,RELAY MOTION KFT.,587
24062,RELAY MOTION KFT.,587
25800,RELAY MOTION KFT.,587
24870,RELAY MOTION KFT.,587
23651,RELAY MOTION KFT.,587
26192,RELAY MOTION KFT.,587
26267,RELAY MOTION KFT.,587
24970,RELAY MOTION KFT.,587
26305,RELAY MOTION KFT.,587
25340,RELAY MOTION KFT.,587
25536,RELAY MOTION KFT.,587
25044,RELAY MOTION KFT.,587
23894,RELAY MOTION KFT.,587
24637,RELAY MOTION KFT.,587
23771,RELAY MOTION KFT.,587
26218,RELAY MOTION KFT.,587
23564,RELAY MOTION KFT.,587
24940,RELAY MOTION KFT.,587
25141,RELAY MOTION KFT.,587
26278,RELAY MOTION KFT.,587
22241,RELAY MOTION KFT.,587
23661,RELAY MOTION KFT.,587
23590,RELAY MOTION KFT.,587
24414,RELAY MOTION KFT.,587
25893,RELAY MOTION KFT.,587
26513,RELAY MOTION KFT.,587
23614,RELAY MOTION KFT.,587
27492,RESERVOIR DOCS,588
20414,REinvent Studios International Sales,589
26960,RIGHTS CUBE Inc.,590
24109,RIGHTS CUBE Inc.,590
26730,Rai Cinema Channel,591
24061,Reel Suspects,592
23488,Reel Suspects,592
28639,Reel Suspects S.A.R.L.,593
24913,Rockwell Eyes Inc.,594
20374,Rockwell Eyes Inc.,594
18319,Rockwell Eyes Inc.,594
23342,Royal National Theatre,595
21268,Royal National Theatre,595
21515,Royal National Theatre,595
21312,Royal National Theatre,595
21740,S-MEDIA.TV s.r.o.,596
21352,S.L.,597
20596,S.L.,597
23560,S.L.,597
19857,S.L.,597
27770,S.L.U.,598
24051,S.L.U.,598
19205,S.L.U.,598
26584,SAS Jonas Films,599
26382,SBS Distribution,600
21941,SDP INC.,601
25243,SDP INC.,601
25131,SEDIC INTERNATIONAL INC.,602
29052,SEDIC INTERNATIONAL INC.,602
15757,SHAKESPEARE'S GLOBE TRUST,603
29669,SHIN-EI ANIMATION CO.  LTD.  	 ,604
24089,SHOCHIKU CO.  LTD,605
6711,SHOCHIKU CO.  LTD.,606
20675,SHOCHIKU CO. LTD,607
27665,SHOCHIKU CO. LTD.,608
20749,SHOWBOX CORP.,609
27769,SKYLINE MEDIA CO.  LTD.,610
26266,SOCIETE NOUVELLE DE DISTRIBUTION,611
28069,SOCIETE NOUVELLE DE DISTRIBUTION,611
23550,SOCIETE NOUVELLE DE DISTRIBUTION,611
22525,SOCIETE PARISIENNE DE PRODUCTION SARL,612
29598,SOCIETE PARISIENNE DE PRODUCTION SARL ,613
26127,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,614
16612,SOCIÉTÉ PARISIENNE DE PRODUCTION SARL,614
22116,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
19984,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
26738,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
24998,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
25279,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
24097,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
29584,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
24499,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
26940,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
26565,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
20539,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
27809,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
21777,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
26075,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
22372,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
26210,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
24866,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
20786,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
25211,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
24857,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
21930,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
23629,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
21867,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
23321,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
22709,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
18958,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
7858,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
23855,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
27607,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
20189,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
18866,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
19955,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
22222,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
23399,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
22194,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
23014,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
22118,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
25493,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
27546,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
27877,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
28197,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,615
26927,SPO Entertainment Inc.,616
17498,SPO Entertainment Inc.,616
20170,SPO Entertainment Inc.,616
23188,STAR INDIA PRIVATE LIMITED,617
25630,STRANGER FILM SALES,618
9977,STUDIO GHIBLI INC.,619
23489,STUDIOCANAL,620
25186,STUDIOCANAL,620
23837,STUDIOCANAL,620
21019,STUDIOCANAL,620
24498,STUDIOCANAL,620
23825,STUDIOCANAL,620
27785,STUDIOCANAL,620
27786,STUDIOCANAL,620
25828,STUDIOCANAL,620
29764,STUDIOCANAL,620
27764,STUDIOCANAL,620
24107,STUDIOCANAL,620
25284,STUDIOCANAL,620
25070,STUDIOCANAL S.A.S.,621
25046,STUDIOCANAL S.A.S.,621
20486,STUDIOCANAL S.A.S.,621
25187,STUDIOCANAL S.A.S.,621
20803,STUDIOCANAL S.A.S.,621
24213,STUDIOCANAL S.A.S.,621
26216,STUDIOCANAL S.A.S.,621
24377,STUDIOCANAL S.A.S.,621
6630,STUDIOCANAL S.A.S.,621
24034,STUDIOCANAL S.A.S.,621
23787,STUDIOCANAL S.A.S.,621
26554,STUDIOCANAL S.A.S. ,622
26669,STUDIOCANAL S.A.S. ,622
23155,STX PRODUCTIONS  LLC,623
20770,STX PRODUCTIONS LLC,624
19475,STX PRODUCTIONS LLC,624
20982,STX PRODUCTIONS LLC,624
28485,Sahamongkolfilm International,625
29717,Sahamongkolfilm International Co.  Ltd.,626
28279,Sahamongkolfilm International Co.  Ltd.,626
21115,Sahamongkolfilm International Co. Ltd.,627
21066,Sahamongkolfilm International Co. Ltd.,627
20659,Schiller Film Group Inc.,628
28551,Schiller Film Group lnc.,629
20201,Seville International,630
23935,Shochiku Co.  Ltd.,631
20047,Shochiku Co. Ltd,632
22197,Shochiku Co. Ltd,632
23341,Shochiku Co. Ltd.,633
20541,Shochiku Co. Ltd.,633
19061,Shochiku Co. Ltd.,633
19896,Shochiku Co. Ltd.,633
25079,"Shochiku Co., Ltd. ",634
25041,"Shochiku Co., Ltd. ",634
26426,Shochiku.  Ltd.,635
23566,Sideways Film Ltd,636
24074,Skyline Media Co.  Ltd,637
21789,Société Parisienne de Production SARL,638
29573,Sony Music Entertainment(Japan)Inc.,639
26349,Sony Pictures Classics Inc.,640
24781,Sony Pictures Entertainment Inc.,641
26439,Sony Pictures International Productions,642
27490,Sony Pictures Releasing,643
21123,Spectre Productions,644
24349,Sphere Film International Inc.,645
24138,Sphere Films International,646
22172,Studio 100 Film GmbH,647
27833,Studio 100 Film GmbH,647
28000,Studio 100 Film GmbH,647
18924,Studio 100 Film GmbH,647
20610,Studio Ghibli Inc.,648
22878,Studio Ghibli Inc.,648
23783,Studio Ghibli Inc.,648
26514,Studio Ghibli Inc.,648
25730,Studio Ghibli Inc.,648
20936,Studio Ghibli Inc.,648
20823,Studio Ghibli Inc.,648
20653,Studio Ghibli Inc.,648
26448,Studio Ghibli Inc.,648
26492,Studio Ghibli Inc.,648
26545,Studio Ghibli Inc.,648
27157,Studio Ghibli Inc.,648
23602,Studio Ghibli Inc.,648
21020,Studio Ghibli Inc.,648
19696,StudioCanal,649
24522,StudioCanal,649
20184,StudioCanal SAS,650
17916,Studiocanal S.A.S,651
19659,Studiocanal S.A.S,651
29250,Studiocanal S.A.S,651
23386,TAMASA DISTRIBUTION,652
23274,TAMASA DISTRIBUTION,652
23275,TAMASA DISTRIBUTION,652
19736,TAMASA DISTRIBUTION,652
20918,TBS GLOWDIA INC.,653
29563,TELECINCO CINEMA S.A.U,654
21214,TELEPOOL GmbH,655
26212,TEWSF S.C.S.,656
18737,TF1 DROITS AUDIOVISUELS,657
18305,TF1 DROITS AUDIOVISUELS,657
18761,TF1 DROITS AUDIOVISUELS,657
18469,TF1 DROITS AUDIOVISUELS,657
18538,TF1 DROITS AUDIOVISUELS,657
16808,TF1 DROITS AUDIOVISUELS ,658
16990,TF1 DROITS AUDIOVISUELS ,658
16868,TF1 DROITS AUDIOVISUELS ,658
16947,TF1 DROITS AUDIOVISUELS ,658
1691,TF1 INTERNATIONAL,659
21920,TF1 STUDIO,660
23660,THE MATCH FACTORY,661
20556,THE MATCH FACTORY,661
20413,THE MATCH FACTORY,661
21857,THE MATCH FACTORY GmbH,662
23511,THE MATCH FACTORY GmbH,662
22715,THE MATCH FACTORY GmbH,662
25771,THE MATCH FACTORY Gmbh,663
18306,THE NETHERLANDS FILM FUND (THE NETHERLANDS FILM PRODUCTION INCENTIVE),664
24488,THE PARTY FILM SALES,665
26872,THE RED SEA FUND,666
21363,THEO ANGELOPOULOS FILM PRODUCTIONS L.P.,667
21362,THEO ANGELOPOULOS FILM PRODUCTIONS L.P.,667
21365,THEO ANGELOPOULOS FILM PRODUCTIONS L.P.,667
21359,THEO ANGELOPOULOS FILM PRODUCTIONS L.P.,667
21361,THEO ANGELOPOULOS FILM PRODUCTIONS L.P.,667
21358,THEO ANGELOPOULOS FILM PRODUCTIONS L.P.,667
21360,THEO ANGELOPOULOS FILM PRODUCTIONS L.P.,667
21364,THEO ANGELOPOULOS FILM PRODUCTIONS L.P.,667
21366,THEO ANGELOPOULOS FILM PRODUCTIONS L.P.,667
29428,THONGKHAM FILMS,668
26022,THONGKHAM FILMS,668
24575,"TIME, Inc. ",669
20759,TMS ENTERTAINMENT CO.  LTD,670
28570,TMS ENTERTAINMENT CO.  LTD.,671
22504,TMS ENTERTAINMENT CO.  LTD.,671
25412,TMS ENTERTAINMENT CO.  LTD.,671
25934,TOEI ANIMATION CO.  LTD.,672
29707,TOEI ANIMATION CO.  LTD.,672
26666,TOEI ANIMATION CO.  LTD.,672
25895,"TOEI ANIMATION CO., LTD.",673
21992,TOEI ANIMATION ENTERPRISES LIMITED.,674
21991,TOEI ANIMATION ENTERPRISES LIMITED.,674
20405,TOEI ANIMATION ENTERPRISES LIMITED.,674
23537,TOEI ANIMATION ENTERPRISES LTD.,675
28747,TOEI COMPANY  LTD.,676
26579,TOEI COMPANY  LTD.,676
23554,TOEI COMPANY  LTD.,676
25444,TOEI COMPANY  LTD.,676
26645,TOEI COMPANY  LTD.,676
18637,TOEI COMPANY LTD.,677
25632,TOEI VIDEO COMPANY  LTD.,678
26279,TOEI VIDEO COMPANY  LTD.,678
19954,TOEL COMPANY LTD.,679
21537,TOHO CO  LTD,680
25672,TOHO CO.  LTD.,681
14811,TOHO CO.  LTD.,681
28478,TOHO CO.  LTD.,681
24925,TOHO CO.  LTD.,681
25317,TOHO CO.  LTD.,681
24544,TOHO CO.  LTD.,681
28111,TOHO CO.  LTD.,681
25649,TOHO CO.  LTD.,681
23742,TOHO CO.  LTD.,681
22962,TOHO CO.  LTD.,681
27950,TOHO CO.  LTD.,681
28392,TOHO CO.  LTD. ,682
21625,TOHO CO. LTD.,683
18685,TOHO CO. LTD.,683
25267,"TOHO CO., LTD.",684
16958,TOHO COMPANY  LTD,685
28491,TOHO Co.  Ltd.,686
26572,TOHO Co.  Ltd. ,687
26617,TOHOKUSHINSHA FILM CORPORATION,688
22882,TOHOKUSHINSHA FILM CORPORATION,688
16758,TOHOKUSHINSHA FILM CORPORATION,688
