MovieId,Name,tmdb_id,tmdb_tw_name
28046,驀然回首,1244492.0,驀然回首
27950,電影哆啦A夢：大雄的地球交響樂,1148677.0,電影哆啦A夢：大雄的地球交響樂
27959,劇場版藍色監獄-EPISODE凪-,1104844.0,劇場版藍色監獄-EPISODE凪-
27054,機動戰士鋼彈SEEDFREEDOM,1146972.0,機動戰士鋼彈SEEDFREEDOM
26478,窗邊的小荳荳,1106904.0,窗邊的小荳荳
28087,劇場版賽馬娘PrettyDerby：新時代之門,1223178.0,劇場版賽馬娘PrettyDerby：新時代之門
26552,邪惡根本不存在,1156125.0,邪惡根本不存在
28063,言葉之庭,198375.0,言葉之庭
25991,北極百貨的秋乃小姐,1117609.0,北極百貨的秋乃小姐
27811,追逐繁星的孩子,79707.0,追逐繁星的孩子
27913,荒蕪之地．應許之心,980026.0,荒蕪之地．應許之心
26751,青春18×2通往有你的旅程,1188258.0,青春18×2通往有你的旅程
26439,鬼才之道,1006724.0,鬼才之道
26872,以愛之茗,662402.0,以愛之茗
29598,一部未完成的電影,878607.0,一部未完成的電影
